 
canticum | canticum, i n
Cantium | Cantium, i n
cantor | cantor, oris m
Cantrexum | Cantrex(um, i n
cantus | cantus, us m
canus | canus, a, um поэт.
Canusini | Canusini, orum m
Canusium | Canusium, i n
Capaneus | I Capaneus, a, um m
capella | I capella, ae f
Capena | Capena, ae f
Capenates | Capenates, ium m
caper | caper, pri m
Caphareus | I Caphareus, a, um m
capillare | capillare, is n
capillaris | capillaris, e анат.
capilli | capilli, orum m
capillus | capillus, i m
capio | capio, cepi, captum, ere pass.
capis | capis, idis f
capistrun | capistrun, i n
capital | capital, alis n
capitatis | capitatis, e анат.
capitatus | capitatus, a, um анат.
Capitium | Capitium, i n
Capitolium | Capitolium, i n
capitulatim | capitulatim adv.
capitulum | capitulum, i n
Cappadoces | Cappadoces, um m
Cappadocia | Cappadocia, ae f
capra | capra, ae f
caprea | caprea, ae f
Capreae | Capreae, arum f
capreolus | capreolus, i m
Capricornus | Capricornus, i m
caprificus | caprificus, i f
Capsa | I Capsa, ae f
capsella | capsella, ae f
Capsenses | Capsenses, ium m
capsicum | capsicum, i n
Capsinum | Capsin(um, i n
Capsitrinum | Capsitrin(um, i n
capsula | capsula, ae f
capsus | capsus, i m
captator | captator, oris m
captio | captio, onis f
captivitas | captivitas, atis f
captus | captus, us m
Capua | Capua, ae f
capulus | capulus, i m
caput | caput, itis n
Capys | Capys, yis m
Car | Car, Caris m
Caralitani | Caralitani, orum m
Caralitis | Caralitis, idis f
carbacholinum | carbacholin(um, i n
Carbadalum | Carbadal(um, i n
Carbamazinum | Carbamazin(um, i n
Carbamidum | Carbamid(um, i n
Carbaminoylcholinum | Carbaminoylcholin(um, i n
Carbarnazepinum | Carbarnazepin(um, i n
Carbarsonum | Carbarson(um, i n
carbasus | carbasus, i f
Carbazonum | Carbazon(um, i n
Carbidinum | Carbidin(um, i n
Carbilazinum | Carbilazin(um, i n
carbo | carbo, onis m
Carbochromenum | Carbochromen(um, i n
Carbogenum | Carbogen(um, i n
Carbolenum | Carbolen(um, i n
carbonas | carbonas, atis m
Carboneum | Carboneum, i n
Carbonicus | Carbonicus, a, um хим.
Carbophosum | Carbophos(um, i n
Carbromalum | Carbromal(um, i n
Carbutamidum | Carbutamid(um, i n
Carcaso | Carcaso (Carcasso), onis f
Carcasso | Carcasso, onis f
carcer | carcer, eris m
carchesium | carchesium, i n
carcinoma | carcinoma, atis n
cardaces | cardaces, um m
cardia | I cardia, ae f
cardiacus | cardiacus, а, um анат.
carmen | carmen, inis n
Carsulae | Carsulae, arum f
Carteja | Carteja, ae f
Carthaea | Carthaea, ae f
Carthaginienses | Carthaginienses, ium m
Carthago | Carthago, inis f
carthamoides | carthamoides, is фармац.
cartilagineus | cartilagineus, a, um анат.
cartilaginosus | cartilaginosus, a, um анат.
cartilago | cartilago, inis f
caruncula | caruncula, ae f
carus | I carus, a, um m
Carvasinum | Carvasin(um, i n
Caryae | Caryae, arum f
caryogamia | caryogamia, ae f
caryologia | caryologia, ae f
Caryolysinum | Caryolysin(um, i n
Carystii | Carystii, orum m
Carystus | Carystus, i f
casa | casa, ae f
Casantinum | Casantin(um, i n
Casca | Casca, ae m
caseta | caseta, ae f
caseus | caseus, i m
casia | casia, ae f
Casilinenses | Casilinenses, ium m
Casilinum | Casilinum, i n
Casinum | Casinum, i n
Casperia | Casperia, ae f
Cassandra | Cassandra, ae f
Cassandrea | Cassandrea f
Cassandrenses | Cassandrenses, ium m
Cassandreus | Cassandreus (=Cassandre^us), ei m
cassia | I cassia, ae f
cassida | cassida, ae f
Cassiope | I Cassiope, es f
cassis | I cassis, idis f
Castalia | Castalia, ae f
castanea | castanea, ae f
caste | caste adv.
castellani | castellani, orum m
castellatim | castellatim adv.
castellum | castellum, i n
castigatio | castigatio, onis f
castigator | castigator, oris m
castimonia | castimonia, ae f
castitas | castitas, atis f
castor | I castor, oris m
castoreum | castoreum, i n
castra | I castra, orum n
castrum | I castrum, i n
Castulo | Castulo, onis m
casu | casu adv.
casula | casula, ae f
casus | casus, us m
Catabathmus | Catabathmus, i m
Catadupa | Catadupa, orum n
