 
verutum | verutum (verrutum), i n
vesania | vesania, ae f
vesanus | vesanus, a, um поэт.
vesica | vesica, ae f
vesicalis | vesicalis, e анат.
vesicographia | vesicographia, ae f
vesicorectalis | vesicorectalis, e анат.
vesicouterinus | vesicouterinus, a, um анат.
vesicovaginalis | vesicovaginalis, e анат.
vesicula | vesicula, ae f
vesicularis | vesicularis, e анат.
vesiculographia | vesiculographia, ae f
vesiculosus | vesiculosus, a, um анат.
Vesontio | Vesontio, onis m
vespa | vespa, ae f
Vespasianus | Vespasianus, i m
Vespazinum | Vespazin(um, i n
vesper | vesper, eris (eri) m
vespera | vespera, ae f
vesperae | vesperae, arum f
Vesperalum | Vesperal(um, i n
vespertinus | vespertinus, a, um поэт.
Vesta | Vesta, ae f
Vestalis | Vestalis, is f
vestiarium | vestiarium, i n
vestibularis | vestibularis, e анат.
vestibulocerebellaris | vestibulocerebellaris, e анат.
vestibulocochlearis | vestibulocochlearis, e анат.
vestibulospinalis | vestibulospinalis, e анат.
vestibulum | vestibulum, i n
vestigium | vestigium, i n
vestimentum | vestimentum, i n
vestis | vestis, is f
vestitus | vestitus, us, m
Vesuvius | Vesuvius, i m
Vetacalmum | Vetacalm(um, i n
vetera | vetera, um n
veterani | veterani, orum m
veterator | veterator, oris m
veteres | veteres, um m
veternus | veternus, i m
Vetidrexum | Vetidrex(um, i n
vetitum | vetitum, i n
Vetrazinum | Vetrazin(um, i n
Vetrenum | Vetren(um, i n
vetus | vetus, eris compar.
vetustas | vetustas, atis f
vexatio | vexatio, onis f
vexator | vexator, oris m
vexillarius | vexillarius, i m
vexillum | vexillum, i n
via | via, ae f
Viadeninum | Viadenin(um, i n
Viadrilum | Viadril(um, i n
Viansinum | Viansin(um, i n
viaticum | viaticum, i n
viator | viator, oris m
Vibiconum | Vibicon(um, i n
Vibovitum | Vibovit(um, i n
vibrio | vibrio, onis f
vibrissae | vibrissae, arum f
vibro | vibro, avi, atum, are поэт.
viburnum | viburnum, i n
Vicairum | Vicair(um, i n
Vicalinum | Vicalin(um, i n
vicani | vicani, orum m
vicarius | I vicarius, a, um m
Vicasolum | Vicasol(um, i n
vicatim | vicatim adv.
Viccillinum | Viccillin(um, i n
vice | vice см.
Viceinum | Vicein(um, i n
vicem | vicem см.
vices | vices см.
vicesima | vicesima, ae f
Vicia | Vicia, ae f
vicies | vicies (viciens) adv.
vicina | vicina, orum n
vicinia | vicinia, ae f
vicinitas | vicinitas, atis f
Vicinum | Vicin(um, i n
vicis | vicis gen.
vicissim | vicissim adv.
vicissitudo | vicissitudo, inis f
victima | victima, ae f
victimarius | victimarius, i m
victor | victor, oris m
victoria | victoria, ae f
victoriatus | victoriatus, i m
victrix | victrix, icis f
victus | victus, us m
viculus | viculus, i m
vicus | vicus, i m
Videinum | Videin(um, i n
videlicet | videlicet adv.
video | video, vidi, visum, ere pass.
vidua | vidua, ae f
viduitas | viduitas, atis f
viduus | viduus, a, um поэт.
Vienna | Vienna, ae f
Vigantolum | Vigantol(um, i n
vigilanter | vigilanter adv.
vigilantia | vigilantia, ae f
vigilia | vigilia, ae f
vigilo | vigilo, avi, atum, are поэт.
vigor | vigor, oris m
vila | vila, ae f
vilis | vilis, e поэт.
vilitas | vilitas, atis f
villa | villa, ae f
villica | villica, ae f
villicus | I villicus (vilicus), a, um m
villosus | villosus, a, um анат.
villula | villula, ae f
villus | villus, i m
vimen | vimen, inis n
Viminalis | Viminalis, is m
Vinactanum | Vinactan(um, i n
vinalia | vinalia, ium n
vinarium | vinarium, i n
vinarius | I vinarius, a, um m
Vinblastinum | Vinblastin(um, i n
Vinca | Vinca, ae f
Vincaleukoblastinum | Vincaleukoblastin(um, i n
Vincametrinum | Vincametrin(um, i n
Vincaminum | Vincamin(um, i n
Vincapanum | Vincapan(um, i n
Vincatonum | Vincaton(um, i n
vinco | vinco, vici, victum, ere поэт.
Vincristinum | Vincristin(um, i n
vinculum | vinculum (vinclum), i n
vindemia | vindemia, ae f
vindemiator | vindemiator, oris m
vindex | vindex, icis m
vindiciae | vindiciae, arum f
vindicta | vindicta, ae f
vinea | vinea, ae f
vinetum | vinetum, i n
vinitor | vinitor, oris m
vinolentia | vinolentia, ae f
vinum | vinum, i n
Viocinum | Viocin(um, i n
Vioformum | Vioform(um, i n
Viofuralum | Viofural(um, i n
Viojoclorum | Viojoclor(um, i n
viola | viola, ae f
violarium | violarium, i n
violatio | violatio, onis f
violator | violator, oris m
violenter | violenter adv.
violentia | violentia, ae f
Viomycinum | Viomycin(um, i n
Vionactanum | Vionactan(um, i n
Viosterolum | Viosterol(um, i n
vipera | vipera, ae f
Viperalginum | Viperalgin(um, i n
vipereus | vipereus, a, um поэт.
Viprasidum | Viprasid(um, i n
Vipratoxum | Vipratox(um, i n
vir | vir, viri m
virago | virago, inis f
Virapinum | Virapin(um, i n
virectum | virectum, i n
virens | virens, entis поэт.
virga | virga, ae f
Virgilius | Virgilius, i m
Virginia | Virginia, ae f
virginitas | virginitas, atis f
virgo | virgo, inis f
virgula | virgula, ae f
virgultum | virgultum, i n
viride | viride nitens фармац.
viriditas | viriditas, atis f
virido | virido, --, --, are pass.
virilia | virilia, ium n
viriliter | viriliter adv.
viritim | viritim adv.
Virormonum | Virormon(um, i n
virtus | virtus, utis f
virus | virus, i n
vis | vis acc.
Visadronum | Visadron(um, i n
Visammimixum | Visammimix(um, i n
Viscardanum | Viscardan(um, i n
visceralis | visceralis, e анат.
visceratio | visceratio, onis f
viscum | viscum, i n
