 
remissio | remissio, onis f
remitto | remitto, misi, missum, ere pass.
remoramen | remoramen, inis n
remote | remote adv.
remotio | remotio, onis f
remugio | remugio, --, --, ire поэт.
remulcum | remulcum, i n
Remulus | Remulus, i m
remuneratio | remuneratio, onis f
remus | I remus, i m
Remyolanum | Remyolan(um, i n
ren | ren, renis m
renalis | renalis, e анат.
Renamidum | Renamid(um, i n
rencularis | rencularis, e анат.
renideo | renideo, --, --, ere поэт.
reniformis | reniformis, e анат.
reno | I reno (rheno), onis m
Renografinum | Renografin(um, i n
renographia | renographia, ae f
Renostypticinum | Renostypticin(um, i n
renovamen | renovamen, inis n
renovatio | renovatio, onis f
renuntiatio | renuntiatio, onis f
Reocorinum | Reocorin(um, i n
repagula | repagula, orum n
repagulum | repagulum, i n
reparo | reparo, avi, atum, are поэт.
repastinatio | repastinatio, onis f
rependo | rependo, pendi, pensum, ere поэт.
repens | repens, entis биолог.
repente | repente adv.
repentino | repentino adv.
repercutio | repercutio, cussi, cussum, ere pass.
repertor | repertor, oris m
repetitio | repetitio, onis f
repetitor | repetitor, oris m
replicatio | replicatio, onis f
repono | repono, posui, positum, ere поэт.
repostor | repostor, oris m
repotia | repotia, orum n
repraesentatio | repraesentatio, onis f
reprehensio | reprehensio, onis f
reprehensor | reprehensor, oris m
repressor | repressor, oris m
reproductio | reproductio, onis f
repromissio | repromissio, onis f
repudiatio | repudiatio, onis f
repudium | repudium, i n
repugnanter | repugnanter adv.
repuguantia | repuguantia, ae f
repulsa | repulsa, ae f
repulsus | repulsus, us m
repurgo | repurgo, avi, atum, are поэт.
reputatio | reputatio, onis f
requies | requies, etis f
requiesco | requiesco, quievi, quietum, ere поэт.
res | res, rei f
resectio | resectio, onis f
Reserpinum | Reserpin(um, i n
Reserpoidum | Reserpoid(um, i n
residuum | residuum, i n
resigno | resigno, avi, atum, are поэт.
resina | resina, ae f
Resistomycinum | Resistomycin(um, i n
Resistopenum | Resistopen(um, i n
Resochenum | Resochen(um, i n
Resochinum | Resochin(um, i n
resolvo | resolvo, solvi, solutum, ere поэт.
Resorcinolum | Resorcinol(um, i n
Resorcinum | Resorcin(um, i n
respectus | respectus, us m
respersio | respersio, onis f
respiramen | respiramen, inis n
respiratio | respiratio, onis f
respiratorius | respiratorius, a, um анат.
respiratus | respiratus, us m
responsio | responsio, onis f
responso | responso, --, --, are поэт.
responsum | responsum, i n
respublica | respublica см.
Restaminum | Restamin(um, i n
Restenilum | Restenil(um, i n
resticula | resticula, ae f
restinctio | restinctio, onis f
restipulatio | restipulatio, onis f
restis | restis, is f
restitutio | restitutio, onis f
restitutor | restitutor, oris m
restricte | restricte adv.
Resulfonum | Resulfon(um, i n
resurgo | resurgo, surrexi, sarrectum, ere поэт.
Retabolilum | Retabolil(um, i n
Retandrolum | Retandrol(um, i n
retardatio | retardatio, onis f
Retasulfinum | Retasulfin(um, i n
rete | rete, is n
retego | retego, texi, tectum, ere поэт.
retentio | retentio, onis f
retento | I retento, avi, atum, are поэт.
retexo | retexo, texui, textum, ere поэт.
retiarius | retiarius, i m
reticentia | reticentia, ae f
reticularis | reticularis, e анат.
reticulospinalis | reticulospinalis, e анат.
reticulum | reticulum, i n
reticulus | reticulus, i m
retina | retina, ae f
retinaculum | I retinaculum, i n
Retinolum | Retinol(um, i n
retractatio | retractatio, onis f
retro | retro adv.
retroauricularis | retroauricularis, e анат.
retrobuccalis | retrobuccalis, e анат.
retrocecalis | retrocecalis, e анат.
retrocervicalis | retrocervicalis, e анат.
retroduodenalis | retroduodenalis, e анат.
retroesophagealis | retroesophagealis, e анат.
retroflexio | retroflexio, onis f
retroflexus | retroflexus, a, um анат.
retrogradus | retrogradus, a, um мед.
retrogressus | retrogressus, a, um анат.
retrohyoideus | retrohyoideus, a, um анат.
retrolentiformis | retrolentiformis, e анат.
