 
fiscella | fiscella, ae f
fiscina | fiscina, ae f
fiscus | fiscus, i m
fissura | fissura, ae f
fissus | fissus, a, um анат.
fistuca | fistuca, ae f
fistula | fistula, ae f
fistulosus | fistulosus, a, um анат.
fistulotomia | fistulotomia, ae f
fixatio | fixatio, onis f
fixus | fixus, a, um анат.
Fl | Fl сокр. от
Flabellinum | Flabellin(um, i n
flabellum | flabellum, i n
flabrum | flabrum, i n
flaccidus | flaccidus, a, um анат.
flagella | flagella, ae f
flagellum | flagellum, i n
Flagesolum | Flagesol(um, i n
flagitatio | flagitatio, onis f
flagitatur | flagitatur, oris m
flagitiose | flagitiose adv.
flagitium | flagitium, i n
flagrantia | flagrantia, ae f
flagrum | flagrum, i n
Flagylum | Flagyl(um, i n
flamen | I flamen, inis m
flaminica | flaminica, ae f
flaminium | flaminium, i n
flamma | flamma, ae f
Flamotidum | Flamotid(um, i n
flasco | flasco, onis f
flatus | flatus, us m
Flavaxinum | Flavaxin(um, i n
Flavinum | Flavin(um, i n
Flavipinum | Flavipin(um, i n
Flavitolum | Flavitol(um, i n
Flavofunginum | Flavofungin(um, i n
Flavugalum | Flavugal(um, i n
flavus | flavus, a, um ����.
flebiliter | flebiliter adv.
Flegylum | Flegyl(um, i n
fletus | fletus, us m
flexio | flexio, onis f
flexor | flexor, oris m
flexura | flexura, ae f
flexus | I flexus, a, um анат.
flictus | flictus, us m
flocculus | flocculus, i m
Flogicortum | Flogicort(um, i n
Flora | Flora, ae f
floriger | floriger, era, erum бот.
flos | flos, floris m
flosculus | flosculus, i m
Flp | Flp ����. ��
Flucortum | Flucort(um, i n
Fluctanum | Fluctan(um, i n
fluctuatio | fluctuatio, onis f
fluctus | fluctus, us m
fluentum | fluentum, i n
Flumazinum | Flumazin(um, i n
flumen | flumen, inis n
Flumezinum | Flumezin(um, i n
Flumoperonum | Flumoperon(um, i n
Fluocortolonum | Fluocortolon(um, i n
Fluosterolonum | Fluosterolon(um, i n
Fluothanum | Fluothan(um, i n
Fluphenazinum | Fluphenazin(um, i n
fluvius | fluvius, i m
focale | focale, is n
foculus | foculus, i m
focus | focus, i m
foede | foede adv.
foeditas | foeditas, atis f
foedus | I foedus, a, um n
Foeniculum | Foeniculum, i n
foenum | foenum, i n
foetor | foetor, oris m
Folacidum | Folacid(um, i n
Folacinum | Folacin(um, i n
Folaminum | Folamin(um, i n
Folcidinum | Folcidin(um, i n
Folestrinum | Folestrin(um, i n
foliatus | foliatus, a, um анат.
Folicilum | Folicil(um, i n
folium | folium, i n
Folliculinum | Folliculin(um, i n
folliculus | folliculus, i m
Follidrinum | Follidrin(um, i n
Follikoratum | Follikorat(um, i n
follis | I follis, is m
Folsanum | Folsan(um, i n
Folvitum | Folvit(um, i n
fomentum | fomentum, i n
fomes | fomes, itis m
fons | fons, fontis m
fonticulus | fonticulus, i m
Fonuritum | Fonurit(um, i n
foramen | foramen, inis n
foraminalis | foraminalis, e анат.
foraminosus | foraminosus, a, um анат.
Forapinum | Forapin(um, i n
foras | foras adv.
forceps | I forceps, ipis f
forda | forda, ae f
Fordetolum | Fordetol(um, i n
fore | fore inf.
foris | I foris adv.
forma | forma, ae f
Formalinum | Formalin(um, i n
Formaminum | Formamin(um, i n
formatio | formatio, onis f
formica | formica, ae f
formido | I formido, avi, atum, are f
formidolose | formidolose (formidulose) adv.
Formidonum | Formidon(um, i n
Formidronum | Formidron(um, i n
formositas | formositas, atis f
formula | formula, ae f
fornax | fornax, acis f
fornix | fornix, icis m
fors | fors, (fortis) nom.
forsan | forsan adv.
forsit | forsit adv.
forsitan | forsitan adv.
fortasse | fortasse adv.
fortassis | fortassis adv.
Fortecortinum | Fortecortin(um, i n
fortiter | fortiter adv.
fortitudo | fortitudo, inis f
fortuito | fortuito adv.
fortuna | I fortuna, ae f
fortunate | fortunate adv.
forum | forum, i n
forus | forus, i m
Fosfoverminum | Fosfovermin(um, i n
fossa | fossa, ae f
fossilis | fossilis, e совр.
fossor | fossor, oris m
fossula | fossula, ae f
fovea | fovea, ae f
foveola | foveola, ae f
Fragaria | Fragaria, ae f
fragmen | fragmen, inis n
fragmentum | fragmentum, i n
fragor | fragor, oris m
fragum | fragum, i n
Framycetinum | Framycetin(um, i n
Franginum | Frangin(um, i n
frango | frango, fregi, fractum, ere pass.
Frangula | Frangula, ae f
frater | frater, tris m
fraterculus | fraterculus, i m
fraterne | fraterne adv.
fratricida | fratricida, ae m
fraudatio | fraudatio, onis f
fraudator | fraudator, oris m
fraus | fraus, fraudis f
fraxinus | I fraxinus, a, um f
fremitus | fremitus, us m
fremor | fremor, oris m
Frenolonum | Frenolon(um, i n
frenulum | frenulum, i n
frenum | frenum, i n
frequenter | frequenter adv.
frequentia | frequentia, ae f
fretum | fretum, i n
fretus | I fretus, a, um m
frigide | frigide adv.
frigidus | frigidus, a, um поэт.
frigus | frigus, oris n
frondator | frondator, oris m
frondosus | I frondosus, a, um анат.
frons | I frons, frondis f
frontale | frontale, is n
frontalis | frontalis, e анат.
fronto | fronto, onis m
frontoparietalis | frontoparietalis, e анат.
frontopontinus | frontopontinus, a, um анат.
fructifer | fructifer, era, erum бот.
fructivorus | fructivorus, a, um зоолог.
fructus | fructus, us m
frugalitas | frugalitas, atis f
frugaliter | frugaliter adv.
frugi | frugi adj.
frumentarius | I frumentarius, a, um m
frumentatio | frumentatio, onis f
frumentator | frumentator, oris m
frumentum | frumentum, i n
Frumtosnilum | Frumtosnil(um, i n
Frusemidum | Frusemid(um, i n
frustra | frustra adv.
frustratio | frustratio, onis f
frustro | frustro, avi, atum, are pass.
frustum | frustum, i n
frutex | frutex, icis m
fruticetum | fruticetum, i n
Fruticinum | Fruticin(um, i n
frux | frux, frugis f
Ftivazidum | Ftivazid(um, i n
Ftorokortum | Ftorokort(um, i n
Fubromeganum | Fubromegan(um, i n
Fucidinum | Fucidin(um, i n
fucus | I fucus, i m
fuga | fuga, ae f
fugacius | fugacius adv.
fulcimen | fulcimen, inis n
Fulcinum | Fulcin(um, i n
fulcrum | fulcrum, i n
fulgor | fulgor, oris m
fulgur | fulgur, uris n
fulica | fulica, ae f
fuligo | fuligo, inis f
fulix | fulix, icis f
fullo | fullo, onis m
fulmen | fulmen, inis m
fulmino | fulmino, avi, atum, are impers.
fultura | fultura, ae f
Fulvicinum | Fulvicin(um, i n
Fulvistatinum | Fulvistatin(um, i n
fumaculum | fumaculum, i n
fumifico | fumifico, avi, atum, are совр.
fumisugium | fumisugium, i n
fumo | fumo, avi, atum, are совр.
fumus | fumus, i m
funale | funale, is n
funambulus | funambulus, i m
functio | I functio, onis f
funda | funda, ae f
fundamen | fundamen, inis n
fundamentum | fundamentum, i n
fundator | fundator, oris m
fundiformis | fundiformis, e анат.
funditor | funditor, oris m
funditus | funditus adv.
fundo | I fundo, avi, atum, are pass.
fundus | fundus, i m
funebris | funebris, e поэт.
funereus | funereus, a, um поэт.
Fungicidinum | Fungicidin(um, i n
fungitormis | fungitormis, e анат.
Fungivinum | Fungivin(um, i n
fungus | fungus, i m
funiculus | funiculus, i m
funis | funis, is m
funus | funus, eris n
fur | fur, furis m
Furacilinum | Furacilin(um, i n
Furacinum | Furacin(um, i n
furaciter | furaciter adv.
Furadantinum | Furadantin(um, i n
Furadoninum | Furadonin(um, i n
Furaginum | Furagin(um, i n
Furaldonum | Furaldon(um, i n
Furaltadonum | Furaltadon(um, i n
Furanthrilum | Furanthril(um, i n
Furapiastum | Furapiast(um, i n
Furazolinum | Furazolin(um, i n
Furazonalum | Furazonal(um, i n
furca | furca, аe f
furcifer | furcifer, eri m
furcilla | furcilla, ae f
furcula | furcula, ae f
furia | furia, ae f
furialis | furialis, e поэт.
furialiter | furialiter adv.
Furmethonolum | Furmethonol(um, i n
furnus | furnus, i m
furor | I furor, atus sum, ari m
Furoxonum | Furoxon(um, i n
furtim | furtim adv.
furtive | furtive adv.
furto | furto adv.
furtum | furtum, i n
furunculus | furunculus, i m
fusiformis | fusiformis, e анат.
fustis | fustis, is m
fustuarium | fustuarium, i n
fusus | I fusus, a, um m
futurum | futurum, i n
futurus | futurus, a, um part.
Fuxalum | Fuxal(um, i n
