 
teredo | teredo, inis f
Terfluzinum | Terfluzin(um, i n
Tergeste | Tergeste, is n
tergiversatio | tergiversatio, onis f
tergum | tergum, i n
tergus | tergus, oris n
Teridinum | Teridin(um, i n
termes | termes, itis m
Terminalia | Terminalia, ium (orum) n
terminatio | I terminatio, onis f
Terminus | Terminus, i m
terminus | terminus, i m
tero | tero, trivi, tritum, ere поэт.
Terpsichore | Terpsichore, es f
terra | terra, ae f
Terramycinum | Terramycin(um, i n
terrenum | terrenum, i n
terrenus | terrenus, a, um поэт.
terricola | terricola, ae f
terriculum | terriculum, i n
terrigena | terrigena, ae m
territorium | territorium, i n
terror | terror, oris m
tertio | tertio adv.
tertium | tertium adv.
tertius | tertius, a, um поэт.
tesca | tesca (tesqua), orum n
Tespaminum | Tespamin(um, i n
tessera | tessera, ae f
testa | testa, ae f
testamentarius | I testamentarius, a, um m
testamentum | testamentum, i n
testatio | testatio, onis f
testicularis | testicularis, e анат.
testiculus | testiculus, i m
testificatio | testificatio, onis f
testimonium | testimonium, i n
testis | I testis, is m
Testobromlecithum | Testobromlecith(um, i n
Testodiolum | Testodiol(um, i n
Testoenatum | Testoenat(um, i n
Testolutinum | Testolutin(um, i n
Testoralum | Testoral(um, i n
testu | testu n
testudo | testudo, inis f
testula | testula, ae f
Tethys | Tethys, yos f
Tetrabonum | Tetrabon(um, i n
Tetraboras | Tetraboras, atis m
Tetraceminum | Tetracemin(um, i n
Tetrachloraethylenum | Tetrachloraethylen(um, i n
tetrachmum | tetrachmum (tetradrachmum), i n
Tetracoccus | Tetracoccus, i m
Tetracyclinum | Tetracyclin(um, i n
Tetracynum | Tetracyn(um, i n
Tetradinum | Tetradin(um, i n
tetrandrus | tetrandrus, a, um биолог.
Tetranum | Tetran(um, i n
Tetraoleanum | Tetraolean(um, i n
tetraphyllus | tetraphyllus, a, um биолог.
tetrapodus | tetrapodus, a, um биолог.
tetrapus | tetrapus, odos биолог.
tetrarches | tetrarches, ae m
tetrarchia | tetrarchia, ae f
Tetravitum | Tetravit(um, i n
tetre | tetre (taetre) adv.
