 
Lederkynum | Lederkyn(um, i n
legatio | legatio, onis f
legatum | legatum, i n
legatus | legatus, i m
legio | legio, onis f
legionarii | legionarii, orum m
legitime | legitime adv.
legiuncula | legiuncula, ae f
lego | I lego, avi, atum, are юр.
legumen | I legumen, inis n
Lemannus | Leman(n)us, i m
Lembrolum | Lembrol(um, i n
lembus | lembus, i m
lemnisci | lemnisci, orum m
lemniscus | lemniscus, i m
Lemnos | Lemnos (-us), i f
lemures | lemures, um m
lena | lena, ae f
Lenbirenum | Lenbiren(um, i n
lene | lene adv.
lenimen | lenimen, inis n
lenitas | lenitas, atis f
leniter | leniter adv.
lenitudo | lenitudo, inis f
leno | leno, onis m
lenocinium | lenocinium, i n
lens | lens, lentis f
lente | lente adv.
lenticularis | lenticularis, e анат.
lenticulostriatus | lenticulostriatus, a, um анат.
lenticulothalamicus | lenticulothalamicus, a, um анат.
lentiformis | lentiformis, e анат.
Lentinum | Lentin(um, i n
lentitudo | lentitudo, inis f
Lentosulfa | Lentosulfa, ae f
lenunculus | lenunculus, i m
leo | leo, onis m
Leontice | Leontice, es f
Leontini | Leontini, orum m
Leonurus | Leonurus, i f
Leopentalum | Leopental(um, i n
Leostesinum | Leostesin(um, i n
lepidocarpus | lepidocarpus, a, um биолог.
lepidopterus | lepidopterus, a, um биолог.
lepidus | I lepidus, a, um m
Lepimidinum | Lepimidin(um, i n
Lepinalum | Lepinal(um, i n
Leplosuccinum | Leplosuccin(um, i n
lepor | lepor (lepos), oris m
Lepsiralum | Lepsiral(um, i n
Leptazolum | Leptazol(um, i n
Leptidrolum | Leptidrol(um, i n
Leptinotarsa | Leptinotarsa, ae f
leptodactylus | leptodactylus, a, um биолог.
leptomeninx | leptomeninx, ingis f
leptourus | leptourus, a, um биолог.
lepus | lepus, oris m
lepusculus | lepusculus, i m
Lerna | Lerna, ae f
Lesbias | Lesbias, adis f
Lesbis | Lesbis, idis f
Lesbos | Lesbos, i f
letalia | letalia, ium n
lethargicus | lethargicus, i m
lethargus | lethargus, i m
Lethe | Lethe, es f
Lethidronum | Lethidron(um, i n
letum | letum, i n
Leucadia | Leucadia, ae f
leucaspis | leucaspis, idis f
Leuceranum | Leuceran(um, i n
leucochilus | leucochilus, a, um биолог.
leucocytosis | leucocytosis, is f
leucocyturia | leucocyturia, ae f
leucocytus | leucocytus, i m
leucoderma | leucoderma, atis n
Leucogenum | Leucogen(um, i n
leucolysis | leucolysis, is f
leucopenia | leucopenia, ae f
leucopoesis | leucopoesis, is f
leucopterus | leucopterus, a, um биолог.
leucosis | leucosis, is f
Leuctra | Leuctra, orum n
Leukeranum | Leukeran(um, i n
Leukomycinum | Leukomycin(um, i n
Leukosulfanum | Leukosulfan(um, i n
Leunervalum | Leunerval(um, i n
Leupurinum | Leupurin(um, i n
Leurocristinum | Leurocristin(um, i n
Leuzea | Leuzea, ae f
levamen | levamen, inis n
levamentum | levamentum, i n
Levarterenolum | Levarterenol(um, i n
levatio | levatio, onis f
levator | levator, oris m
levis | I levis (laevis), e биолог.
levitas | levitas, atis f
leviter | leviter adv.
Levophedum | Levophed(um, i n
Levopromazinum | Levopromazin(um, i n
Levoreninum | Levorenin(um, i n
Levorinum | Levorin(um, i n
Levorphanolum | Levorphanol(um, i n
Levorphanum | Levorphan(um, i n
lex | lex, legis f
libamen | libamen, inis n
libamentum | libamentum, i n
libatio | libatio, onis f
libella | libella, ae f
libellus | libellus, i m
libenter | libenter (lubenter) adv.
Libentina | Libentina, ae f
liber | I liber, bri m
Libera | Libera, ae f
Liberalia | Liberalia, ium n
liberalitas | liberalitas, atis f
liberaliter | liberaliter adv.
liberatio | liberatio, onis f
liberator | liberator, oris m
libere | libere adv.
liberi | liberi, orum (um) m
liberta | liberta, ae f
libertas | libertas, atis f
libertina | libertina, ae f
libertinus | libertinus, i m
libertus | libertus, i m
libet | libet (lubet), buit (bitum est), ere impers.
Libexinum | Libexin(um, i n
libidinose | libidinose adv.
libido | libido (lubido), inis f
libita | libita, orum n
Libitina | Libitina, ae f
libra | libra, ae f
libramentum | libramentum, i n
librariolus | librariolus, i m
librarium | librarium, i n
librarius | I librarius, a, um m
librator | librator (libritor), oris m
libritor | libritor, oris m
Librium | Librium, i n
libum | libum, i n
Liburni | Liburni, orum m
Libya | Libya, ae f
licenter | licenter adv.
licentia | licentia, ae f
licet | licet, cuit (citum est), ere impers.
licitatio | licitatio, onis f
licitator | licitator, oris m
licium | licium, i n
lictor | lictor, oris m
Lidazinum | Lidazin(um, i n
lien | lien, enis m
lienalis | lienalis, e анат.
ligamen | ligamen, inis n
ligamentosus | ligamentosus, a, um анат.
ligamentum | ligamentum, i n
Liger | Liger, eris m
lignarius | lignarius, i m
lignatio | lignatio, onis f
lignator | lignator, oris m
Lignocainum | Lignocain(um, i n
lignum | lignum, i n
ligo | I ligo, avi, atum, are m
Ligures | Ligures, um m
Liguria | Liguria, ae f
ligustrum | ligustrum, i n
Likudenum | Likuden(um, i n
Liliidae | Liliidae, arum f
lilium | lilium, i n
lima | lima, ae f
Limarsolum | Limarsol(um, i n
limbus | limbus, i m
limen | limen, inis n
limes | limes, itis m
limnobius | limnobius, a, um биолог.
limnophilus | limnophilus, a, um биолог.
limpha | limpha, ae f
limus | I limus, a, um m
Linaetholum | Linaethol(um, i n
Lincocinum | Lincocin(um, i n
linea | linea (linia), ae f
lineamentum | lineamentum, i n
Linfolysinum | Linfolysin(um, i n
lingua | lingua, ae f
lingualis | lingualis, e анат.
lingula | lingula, ae f
lingularis | lingularis, e анат.
linia | linia, ae f
linimentum | linimentum, i n
Linolum | Linol(um, i n
Linoralum | Linoral(um, i n
linquo | linquo, liqui, (lictum), ere pass.
linter | linter (lunter), tris f
linteum | linteum, i n
Lintexum | Lintex(um, i n
linum | linum, i n
Liothyroninum | Liothyronin(um, i n
lipaemia | lipaemia, ae f
Lipamidum | Lipamid(um, i n
Lipavlonum | Lipavlon(um, i n
Liphormonum | Liphormon(um, i n
lipida | lipida, orum n
Lipiodolum | Lipiodol(um, i n
Lipocainum | Lipocain(um, i n
Lipocerebrinum | Lipocerebrin(um, i n
Lipoicus | Lipoicus, a, um хим.
Lipolutinum | Lipolutin(um, i n
lipoma | lipoma, atis n
lippitudo | lippitudo, inis f
lipuria | lipuria, ae f
Liquaeminum | Liquaemin(um, i n
Liquamarum | Liquamar(um, i n
liquamen | liquamen, inis n
Liquatolum | Liquatol(um, i n
liquefio | liquefio, factus sum, fieri pass.
liquide | liquide adv.
Liquiritonum | Liquiriton(um, i n
liquor | I liquor, --, liqui m
lis | lis, litis f
Litarinum | Litarin(um, i n
litatio | litatio, onis f
lithiasis | lithiasis, is f
Lithium | Lithium, i n
lithophilus | lithophilus, a, um биолог.
lithophyton | lithophyton, i n
liticen | liticen, inis m
littera | littera (litera), ae f
litterate | litterate adv.
litterula | litterula, ae f
littus | littus, oris n
litura | litura, ae f
litus | litus, oris n
lituus | lituus, i m
Livia | Livia, ae f
Liviclimanum | Livicliman(um, i n
livor | livor, oris m
lixa | lixa, ae m
Lixinum | Lixin(um, i n
lobaris | lobaris, e анат.
Lobesilum | Lobesil(um, i n
lobularis | lobularis, e анат.
lobulus | lobulus, i m
lobus | lobus, i m
Locacortenum | Locacorten(um, i n
Localynum | Localyn(um, i n
locatio | locatio, onis f
locatum | locatum, i n
Locortenum | Locorten(um, i n
Locri | Locri, orum m
Locris | Locris, idis (idos) f
loculus | loculus, i m
locus | locus, i m
locusta | locusta, ae f
logopaedia | logopaedia, ae f
loligo | loligo, inis f
lolium | lolium, i n
lolligo | lolligo, inis f
Londinium | Londinium, i n
Longamidum | Longamid(um, i n
longe | longe adv.
longicaudatus | longicaudatus, a, um биолог.
longinquitas | longinquitas, atis f
longiracemosus | longiracemosus, a, um биолог.
Longisulium | Longisuli(um, i n
longitudinalis | longitudinalis, e анат.
longitudo | longitudo, inis f
longum | longum adv.
longurius | longurius, i m
longus | longus, a, um поэт.
loquacitas | loquacitas, atis f
loquaciter | loquaciter adv.
loquela | loquela (loquella), ae f
lordosis | lordosis, is f
Loretinum | Loretin(um, i n
lorica | lorica, ae f
loricula | loricula, ae f
Lorindenum | Lorinden(um, i n
lorum | lorum, i n
Lotophagi | Lotophagi, orum (um) m
lotos | lotos (-us), i f
lotus | I lotus, a, um part.
Loxodonta | Loxodonta, ae f
Lubentina | Lubentina, ae f
Lubomycinum | Lubomycin(um, i n
lubricoideus | lubricoideus, a, um биолог.
Luca | Luca, ae f
Lucanus | Lucanus, i m
luce | luce adv.
lucellum | lucellum, i n
luceo | luceo, luxi, --, ere impers.
Luceres | Luceres, um m
lucerna | lucerna, ae f
luci | luci adv.
lucide | lucide adv.
Lucidilum | Lucidil(um, i n
Lucidrilum | Lucidril(um, i n
lucifer | I lucifer, era, erum m
Lucofenum | Lucofen(um, i n
Lucopeninum | Lucopenin(um, i n
Lucortenum | Lucorten(um, i n
Lucretia | Lucretia, ae f
lucrum | lucrum, i n
lucta | lucta, ae f
luctamen | luctamen, inis n
luctatio | luctatio, onis f
luctator | luctator, oris m
luctuose | luctuose adv.
luctuosus | luctuosus, a, um поэт.
luctus | luctus, us m
Lucullus | Lucullus, i m
lucus | lucus, i m
ludibrium | ludibrium, i n
ludicra | ludicra, orum n
ludificatio | ludificatio, onis f
ludio | ludio, onis m
ludius | ludius, i m
ludus | ludus, i m
lues | lues, is f
Lugdunum | Lugdunum, i m
lugubria | lugubria, ium n
lugubris | lugubris, e поэт.
lumbalis | lumbalis, e анат.
lumbi | lumbi, orum m
lumbocostalis | lumbocostalis, e анат.
lumbodorsalis | lumbodorsalis, e анат.
lumboiliacalis | lumboiliacalis, e анат.
lumboinguinalis | lumboinguinalis, e анат.
lumbosacralis | lumbosacralis, e анат.
lumbricalis | lumbricalis, e анат.
lumbricus | lumbricus, i m
lumbus | lumbus, i m
lumen | lumen, inis n
Luminalum | Luminal(um, i n
luna | luna, ae f
lunter | lunter, tris f
lunula | lunula, ae f
lupa | lupa, ae f
lupata | lupata, orum n
lupati | lupati, orum m
Lupercalia | Lupercalia, ium (orum) n
Lupercus | Lupercus, i m
lupinum | lupinum, i n
lupinus | I lupinus, a, um m
luposus | luposus, a, um мед.
lupus | lupus, i m
Luridinum | Luridin(um, i n
luridus | luridus, a, um поэт.
Luronitum | Luronit(um, i n
luscinia | luscinia, ae f
Lusitania | Lusitania, ae f
lusor | lusor, oris m
lustratio | lustratio, onis f
lustrum | I lustrum, i n
lusus | lusus, us m
Luteoganum | Luteogan(um, i n
Luteopurum | Luteopur(um, i n
Luteostabum | Luteostab(um, i n
Luteosteronum | Luteosteron(um, i n
Lutetia | Lutetia, ae или Lutetia Parisiorum f
Lutocyclinum | Lutocyclin(um, i n
Lutocycolum | Lutocycol(um, i n
Lutoformum | Lutoform(um, i n
Lutogylum | Lutogyl(um, i n
Lutromonum | Lutromon(um, i n
Lutronum | Lutron(um, i n
lutum | I lutum, i n
lux | lux, lucis f
Luxidinum | Luxidin(um, i n
luxuria | luxuria, ae f
luxuries | luxuries, ei f
luxuriose | luxuriose adv.
luxus | I luxus, a, um m
Lycaeus | Lycaeus, i m
Lyceum | Lyceum, i n
lychnus | lychnus, i m
Lycia | Lycia, ae f
Lycium | Lycium, i n
Lycopodium | Lycopodium, i n
Lycurgus | Lycurgus, i m
Lydasum | Lydasum, i n
Lydia | Lydia, ae f
lympha | lympha (limpha), ae f
lymphadenitis | lymphadenitis, idis f
lymphangioma | lymphangioma, atis n
lymphaticus | lymphaticus, a, um анат.
lymphoblastus | lymphoblastus, i m
lymphocytus | lymphocytus, i m
lymphoglandula | lymphoglandula, ae f
lymphonodulus | lymphonodulus, i m
lymphonodus | lymphonodus, i m
lymphopenia | lymphopenia, ae f
lymphorrhoea | lymphorrhoea, ae f
lymphostasis | lymphostasis, is f
Lynaminum | Lynamin(um, i n
Lynestoralum | Lynestoral(um, i n
Lynoralum | Lynoral(um, i n
lynx | lynx, lyncis m
Lyogenum | Lyogen(um, i n
Lyothyroninum | Lyothyronin(um, i n
lyra | lyra, ae f
lyrici | lyrici, orum m
Lysander | Lysander, dri m
Lysergidum | Lysergid(um, i n
Lysias | Lysias, ae m
Lysimachus | Lysimachus, i m
Lysoformium | Lysoformium, i n
Lysolum | Lysolum, i n
lysosoma | lysosoma, atis n
