 
Glycocyclinum | Glycocyclin(um, i n
glycogenum | glycogenum, i n
glycophyta | glycophyta, orum n
Glycyrrhiza | Glycyrrhiza, ae f
glykaemia | glykaemia, ae f
Glyphyllinum | Glyphyllin(um, i n
Glyvenolum | Glyvenol(um, i n
gnaritas | gnaritas, atis f
gnathalgia | gnathalgia, ae f
gnathoplastica | gnathoplastica, ae f
Gnathostomata | Gnathostomata, um n
gnatus | gnatus, a, um арх.
gnav | gnav арх.
gobius | gobius (cobius), i m
Golgotha | Golgotha m
gomphosis | gomphosis, is f
Gomphotinum | Gomphotin(um, i n
Gonabionum | Gonabion(um, i n
Gonavitum | Gonavit(um, i n
Gonocrinum | Gonocrin(um, i n
gonocytus | gonocytus, i m
Gontochinum | Gontochin(um, i n
Gordium | Gordium, i n
Gorgias | Gorgias, ае m
Gorgones | Gorgones, um f
gossypium | gossypium, i n
Gothi | Gothi, orum m
grabatus | grabatus, i m
Gracchus | Gracchus, i m
Gracidinum | Gracidin(um, i n
gradatim | gradatim adv.
gradus | gradus, us m
Graecia | Graecia, ae f
Graecus | I Graecus, a, um m
Grajus | Grajus, i m
gramen | gramen, inis n
Gramicidinum | Gramicidin(um, i n
gramma | gramma, atis n
grammatica | I grammatica, ae f
grammaticus | I grammaticus, a, um m
granarium | granarium, i n
Granatus | Granatus, i f
grandiflorus | grandiflorus, a, um бот.
grandino | grandino, --, --, are impers.
granditer | granditer adv.
grando | grando, inis f
Granicus | Granicus, i m
granulans | granulans, antis мед.
granulatio | granulatio, onis f
granulosus | granulosus, a, um анат.
granum | granum, i n
graphium | graphium, i n
graphomachina | graphomachina, ae f
grassator | grassator, oris m
grate | grate adv.
grates | grates ( acc.
gratia | I gratia, ae f
Gratiae | Gratiae, arum f
gratificatio | gratificatio, onis f
gratiis | gratiis арх.
gratis | gratis adv.
gratuito | gratuito adv.
gratulatio | gratulatio, onis f
gravanter | gravanter adv.
gravatim | gravatim adv.
gravesco | gravesco, --, --, ere поэт.
gravitas | gravitas, atis f
graviter | graviter adv.
Gravitolum | Gravitol(um, i n
gravo | gravo, avi, atum, are pass.
gregales | gregales, ium m
gregatim | gregatim adv.
gremium | gremium, i n
Greosinum | Greosin(um, i n
gressus | gressus, us m
grex | grex, gregis m
Gricinum | Gricin(um, i n
Grifulinum | Grifulin(um, i n
Grifulvinum | Grifulvin(um, i n
grippa | grippa, ae f
Griroxilum | Griroxil(um, i n
Grisactinum | Grisactin(um, i n
Grisefulinum | Grisefulin(um, i n
Griseofulvinum | Griseofulvin(um, i n
griseus | griseus, a, um анат.
Grisovinum | Grisovin(um, i n
grus | grus (поэт. gruis), gruis m
gryps | gryps, grypis m
Guamidum | Guamid(um, i n
Guanatolum | Guanatol(um, i n
Guanethidinum | Guanethidin(um, i n
Guanisolum | Guanisol(um, i n
Guaseptum | Guasept(um, i n
gubernaculum | I gubernaculum, i n
gubernatio | gubernatio, onis f
gubernator | gubernator, oris m
gubernatrix | gubernatrix, icis f
Guimrinum | Guimrin(um, i n
gula | gula, ae f
Gumisolum | Gumisol(um, i n
gumnasium | gumnasium, i n
gurges | gurges, itis m
gurgulio | I gurgulio, onis m
gurgustium | gurgustium, i n
gustatorius | gustatorius, a, um анат.
gustatus | gustatus, us m
gustus | gustus, us m
gutta | gutta, ae f
guttur | guttur, uris n
guttus | guttus, i m
gymnandrus | gymnandrus, a, um бот.
gymnasiarchus | gymnasiarchus, i m
gymnasium | gymnasium (gumnasium), i n
Gymnospermae | Gymnospermae, arum f
gymnospermus | gymnospermus, a, um бот.
gynaeceum | gynaeceum (gynaecium), i n
gynaecium | gynaecium, i n
gynaecologia | gynaecologia, ae f
gynaecologus | gynaecologus, i m
gynaeconitis | gynaeconitis, idis f
gynaecophobia | gynaecophobia, ae f
gynecologicus | gynecologicus, a, um мед.
Gynformonum | Gynformon(um, i n
Gynlutinum | Gynlutin(um, i n
Gynoestrylum | Gynoestryl(um, i n
Gynofortum | Gynofort(um, i n
gynophorum | gynophorum, i n
Gynoralum | Gynoral(um, i n
gypsum | gypsum, i n
Gyromytra | Gyromytra, ae f
gyrus | gyrus, i m
