Lasiorrhinus |  Lasiorrhinus, i m
Lasixum |  Lasix(um, i n
lassiterna |  lassiterna, ae f
lassitudo |  lassitudo, inis f
lasso |  lasso, avi, atum, are
lassus |  lassus, a, um
late |  late adv.
latebra |  latebra, ae f
latebrosus |  latebrosus, a, um
latens |  latens, entis
latenter |  latenter adv.
lateo |  lateo, tui, --, ere
later |  later, eris m
lateralis |  lateralis, e анат.
laterculus |  laterculus, i m
latericium |  latericium, i n
latericius |  latericius, a, um
latern |  latern...
latesco |  latesco, --, --, ere
latex |  latex, icis m
Latibonum |  Latibon(um, i n
latibulum |  latibulum, i n
laticaudus |  laticaudus, a, um биолог.
latifolius |  latifolius, a, um биолог.
Latinienses |  Latinienses, ium m
Latinus |  I Latinus, a, um m
latio |  latio, onis f
latissimus |  latissimus, a, um анат.
latito |  latito, avi, atum, are
latitudo |  latitudo, inis f
Latium |  Latium, i n
Latius |  Latius, a, um
Lato |  Lato, us
Latoius |  I Latoius, a, um m
Latona |  Latona, ae f
lator |  lator, oris m
latrator |  latrator, oris m
latratus |  latratus, us m
latro |  I latro, avi, atum, are m
latrocinium |  latrocinium, i n
latrocinor |  latrocinor, atus sum, ari
latrunculus |  latrunculus, i m
latus |  I latus, a, um part.
laudabilis |  laudabilis, e
Laudanum |  Laudan(um, i n
laudatio |  laudatio, onis f
laudator |  laudator, oris m
laudatrix |  laudatrix, icis f
laudatus |  laudatus, a, um
laudo |  laudo, avi, atum, are
laurea |  laurea, ae f
laureatus |  laureatus, a, um
Laurentum |  Laurentum, i n
laureus |  laureus, a, um
lauriger |  lauriger, era, erum
laurus |  laurus, i f
laus |  laus, laudis f
laute |  laute adv.
lautia |  lautia, orum n
lautumiae |  lautumiae, arum f
lautus |  lautus, a, um
lavacrum |  lavacrum, i n
lavatio |  lavatio, onis f
lavatorium |  lavatorium, i n
Laverna |  Laverna, ae f
Lavinia |  Lavinia, ae f
Lavinium |  Lavinium, i n
lavo |  lavo, lavi, lautum поэт.
Lavorphanum |  Lavorphan(um, i n
laxamentum |  laxamentum, i n
Laxatotum |  Laxatot(um, i n
laxe |  laxe adv
Laxigenum |  Laxigen(um, i n
laxitas |  laxitas, atis f
laxo |  laxo, avi, atum, are
Laxogenum |  Laxogen(um, i n
Laxoinum |  Laxoin(um, i n
Laxolum |  Laxol(um, i n
laxus |  laxus, a, um поэт.
Laxylum |  Laxyl(um, i n
lea |  lea, ae f
leaena |  leaena, ae f
lebes |  lebes, etis m
lectica |  lectica, ae f
lecticarius |  lecticarius, i m
lecticula |  lecticula, ae f
lectio |  lectio, onis f
lectisternium |  lectisternium, i n
lectito |  lectito, avi, atum, are
lector |  lector, oris m
lectulus |  lectulus, i m
lectus |  I lectus, a, um m
Leda |  Leda, ae f
Lederkynum |  Lederkyn(um, i n
legatio |  legatio, onis f
legatum |  legatum, i n
legatus |  legatus, i m
legifer |  legifer, era, erum
legio |  legio, onis f
legionarii |  legionarii, orum m
legionarius |  legionarius, a, um
legitime |  legitime adv.
legitimus |  legitimus, a, um
legiuncula |  legiuncula, ae f
lego |  I lego, avi, atum, are юр.
legumen |  I legumen, inis n
Lemannus |  Leman(n)us, i m
Lembrolum |  Lembrol(um, i n
lembus |  lembus, i m
lemniscatus |  lemniscatus, a, um
lemnisci |  lemnisci, orum m
lemniscus |  lemniscus, i m
Lemnos |  Lemnos (-us), i f
lemures |  lemures, um m
lena |  lena, ae f
Lenbirenum |  Lenbiren(um, i n
lene |  lene adv.
lenimen |  lenimen, inis n
lenio |  lenio, ivi (ii), itum, ire
lenis |  lenis, e
lenitas |  lenitas, atis f
leniter |  leniter adv.
lenitudo |  lenitudo, inis f
leno |  leno, onis m
lenocinium |  lenocinium, i n
lenocinor |  lenocinor, atus sum, ari
lens |  lens, lentis f
lente |  lente adv.
lentesco |  lentesco, --, --, ere
lenticularis |  lenticularis, e анат.
lenticulostriatus |  lenticulostriatus, a, um анат.
lenticulothalamicus |  lenticulothalamicus, a, um анат.
lentiformis |  lentiformis, e анат.
Lentinum |  Lentin(um, i n
lentiscifer |  lentiscifer, era, erum
lentiscus |  lentiscus, i
lentitudo |  lentitudo, inis f
lento |  lento, avi, atum, are
Lentosulfa |  Lentosulfa, ae f
lentus |  lentus, a, um
lenunculus |  lenunculus, i m
