immodestia |  immodestia, ae f
immodestus |  immodestus, a, um
immodice |  immodice adv.
immodicus |  immodicus, a, um
immodulatus |  immodulatus, a, um
immolitus |  immolitus, a, um
immolo |  immolo, avi, atum, are поэт.
immorior |  immorior, mortuus sum, mori
immorsus |  immorsus, a, um
immortalis |  immortalis, e
immortalitas |  immortalitas, atis f
immotus |  immotus, a, um
immugio |  immugio, ii, --, ire
immulgeo |  immulgeo, --, --, ere
immundus |  immundus, a, um
immunis |  immunis, e
immunitas |  immunitas, atis f
immunitus |  immunitus, a, um
immurmuro |  immurmuro, (avi), atum, are
immutabilis |  immutabilis, e
immutatio |  immutatio, onis f
immutatus |  I immutatus, a, um part.
immutilatus |  immutilatus, a, um
immuto |  immuto, avi, atum, are
imo |  imo
IMP. |  IMP. сокр. от
impacatus |  impacatus, a, um
impar |  impar, aris
imparatus |  imparatus, a, um
impariter |  impariter adv.
impartio |  impartio
impastus |  impastus, a, um
impatiens |  impatiens, entis
impavide |  impavide adv.
impavidus |  impavidus, a, um
impedimentum |  impedimentum, i n
impedio |  impedio, ivi (ii), itum, ire поэт.
impeditio |  impeditio, onis f
impeditus |  impeditus, a, um воен.
impello |  impello, puli, pulsum, ere
impendeo |  impendeo, --, --, ere
impendio |  impendio adv.
impendium |  impendium, i n
impendo |  impendo, pendi, pensum, ere
impenetrabilis |  impenetrabilis, e
impensa |  impensa, ae f
impense |  impense adv.
impensus |  impensus, a, um
imperativus |  imperativus, i m
imperator |  imperator, oris m
imperatorius |  imperatorius, a, um
imperatrix |  imperatrix, icis f
imperatum |  imperatum, i n
imperceptus |  imperceptus, a, um
impercussus |  impercussus, a, um
imperditus |  imperditus, a, um
imperfectus |  imperfectus, a, um
imperfossus |  imperfossus, a, um
imperiosus |  imperiosus, a, um
imperite |  imperite adv.
imperitia |  imperitia, ae f
imperito |  imperito, avi, atum, are
imperitus |  imperitus, a, um
imperium |  imperium, i n
imperjuratus |  imperjuratus, a, um
impermissus |  impermissus, a, um
impero |  impero, avi, atum, are юр.
imperterritus |  imperterritus, a, um
impertio |  impertio, ivi (ii), itum, ire
imperturbatus |  imperturbatus, a, um
impervius |  impervius, a, um
impes |  impes, etis m
impetrabilis |  impetrabilis, e
impetrio |  impetrio, ivi, itum, ire
impetro |  impetro, avi, atum, are
impetus |  impetus, us m
impexus |  impexus, a, um
impie |  impie adv.
impietas |  impietas, atis f
impiger |  impiger, gra, grum
impingo |  impingo, pegi, pactum, ere
impius |  impius, a, um
implacabilis |  implacabilis, e
implacatus |  implacatus, a, um
implacidus |  implacidus, a, um
implantatio |  implantatio, onis f
implecto |  implecto, plexi, plexum, ere
impleo |  impleo, plevi, pletum, ere
implicatio |  implicatio, onis f
implicatus |  implicatus, a, um
implico |  implico, ui (avi), itum (atum), are pass.
imploratio |  imploratio, onis f
imploro |  imploro, avi, atum, are
implumis |  implumis, e
impluo |  impluo, plui, --, ere
impluvium |  impluvium, i n
impolitus |  impolitus, a, um
impollutus |  impollutus, a, um
impono |  impono, posui, positum, ere
importo |  importo, avi, atum, are
importunitas |  importunitas, atis f
importunus |  importunus, a, um
importuosus |  importuosus, a, um
impotens |  impotens, entis
impotenter |  impotenter adv.
impotentia |  impotentia, ae f
IMPP |  IMPP сокр. от
impraesentiarum |  impraesentiarum adv.
impransus |  impransus, a, um
imprecor |  imprecor, atus sum, ari
impressio |  impressio, onis f
imprimis |  imprimis adv.
imprimo |  imprimo, pressi, pressum, ere
improbatio |  improbatio, onis f
improbe |  improbe adv.
improbitas |  improbitas, atis f
improbo |  improbo, avi, atum, are
improbus |  improbus, a, um
impromptus |  impromptus, a, um
improperatus |  improperatus, a, um
improvide |  improvide adv.
improvidus |  improvidus, a, um
improviso |  improviso adv.
improvisus |  improvisus, a, um
imprudens |  imprudens, entis
imprudenter |  imprudenter adv
imprudentia |  imprudentia, ae f
impubes |  impubes, eris
impubis |  impubis, e
impudens |  impudens, entis
impudenter |  impudenter adv.
impudentia |  impudentia, ae f
impudicitia |  impudicitia, ae f
impudicus |  impudicus, a, um
impugno |  impugno, avi, atum, are
impulsor |  impulsor, oris m
impulsus |  impulsus, us m
impune |  impune adv
impunitas |  impunitas, atis f
impunitus |  impunitus, a, um
impure |  impure adv.
impuritas |  impuritas, atis f
impurus |  impurus, a, um
imputatus |  I imputatus, a, um part.
imputo |  imputo, avi, atum, are
Imuranum |  Imuran(um, i n
Imurelum |  Imurel(um, i n
imus |  imus, a, um superl.
in |  in praep.
inaccessus |  inaccessus, a, um
inacesco |  inacesco, acui, --, ere
Inachus |  Inachus, i m
inadsuetus |  inadsuetus, a, um
inadustus |  inadustus, a, um
inaedifico |  inaedifico, avi, atum, are
inaequabilis |  inaequabilis, e
inaequalis |  inaequalis, e поэт.
inaequaliter |  inaequaliter adv.
inaequo |  inaequo, --, --, are
inaestimabilis |  inaestimabilis, e
inaestuo |  inaestuo, --, --, are
Inalpini |  Inalpini, orum m
inamabilis |  inamabilis, e
inamaresco |  inamaresco, --, --, ere
inambitiosus |  inambitiosus, a, um
inambulo |  inambulo, avi, --, are
inamoenus |  inamoenus, a, um
inane |  inane, is n
inanimalis |  inanimalis, e
inanimus |  inanimus, a, um
inanis |  inanis, e
inaniter |  inaniter adv.
Inapsinum |  Inapsin(um, i n
inaratus |  inaratus, a, um
inardesco |  inardesco, arsi, --, ere
inassuetus |  inassuetus, a, um
inattenuatus |  inattenuatus, a, um
inaudax |  inaudax, acis
inauditus |  inauditus, a, um
inaugaro |  inaugaro, avi, atum, are
inauro |  inauro, avi, atum, are
inauspicato |  inauspicato adv.
inauspicatus |  inauspicatus, a, um
inausus |  inausus, a, um
inb |  inb...
incaeduus |  incaeduus, a, um
incalesco |  incalesco, calui, --, ere
incalfacio |  incalfacio, --, --, ere
incallidus |  incallidus, a, um
incandesco |  incandesco, candui, --, ere
incanesco |  incanesco, nui, --, ere
incantatus |  incantatus, a, um
incanus |  incanus, a, um
incastigatus |  incastigatus, a, um
incaute |  incaute adv.
incautus |  incautus, a, um
incedo |  incedo, cessi, cessum, ere воен.
incelebratus |  incelebratus, a, um
incendium |  incendium, i n
incendo |  incendo, cendi, censum, ere
incensio |  incensio, onis f
incensus |  I incensus, a, um part.
inceptum |  inceptum, i n
inceptus |  inceptus, us m
incertum |  incertum, i n
incertus |  incertus, a, um поэт.
incesso |  incesso, cessivi (cessi), --, ere
incessus |  incessus, us m
inceste |  inceste adv.
