Marcius |  Marcius, i m
Marcomani |  Marcomani, orum m
Marcus |  Marcus, i m
Mardonius |  Mardonius, i m
mare |  mare, is n
Marecainum |  Marecain(um, i n
margarita |  margarita, ae f
margino |  margino, avi, atum, are
margo |  margo, inis m
Margonovinum |  Margonovin(um, i n
marinus |  marinus, a, um
marita |  marita, ae f
maritalis |  maritalis, e
maritima |  maritima, orum n
maritimus |  maritimus (maritumus), a, um
marito |  marito, avi, atum, are
maritus |  I maritus, a, um m
Marius |  Marius, a, um
Marizilum |  Marizil(um, i n
marmor |  marmor, oris n
marmoreus |  marmoreus, a, um поэт.
Maro |  Maro, onis m
Mars |  Mars, Martis m
Marsalidum |  Marsalid(um, i n
Marsi |  Marsi, orum m
Marsilidum |  Marsilid(um, i n
Martialis |  Martialis, is m
Martius |  I Martius, a, um m
mas |  I mas, maris n
masculinus |  masculinus, a, um
masculus |  I masculus, a, um m
Masdiolum |  Masdiol(um, i n
Masinissa |  Masinissa, ae m
massa |  massa, ae f
Massagetae |  Massagetae, arum m
massetericus |  massetericus, a, um анат.
mastectomia |  mastectomia, ae f
masticatorius |  masticatorius, a, um анат.
masticatus |  masticatus, a, um анат.
mastitis |  mastitis, idis f
Mastodontus |  Mastodontus, i m
mastoideus |  mastoideus, a, um анат.
mastopathia |  mastopathia, ae f
mastruca |  mastruca (mastruga), ae f
mastrucatus |  mastrucatus, a, um
matara |  matara, ae f
mater |  mater, tris f
matercula |  matercula, ae f
materia |  materia, ae f
materiatus |  materiatus, a, um
materior |  materior, --, ari
materis |  materis
maternus |  maternus, a, um
matertera |  matertera, ae f
mathematicus |  mathematicus, a, um
Matricaria |  I Matricaria, ae f
matricida |  matricida, ae m
matrimonium |  matrimonium, i n
matrimus |  matrimus, a, um
Matrimycinum |  Matrimycin(um, i n
matrix |  matrix, icis f
matrona |  matrona, ae f
matronalis |  matronalis, e
mature |  mature adv.
maturesco |  maturesco, maturui, --, ere
maturitas |  maturitas, atis f
maturo |  maturo, avi, atum, are pass.
maturus |  maturus, a, um
Matuta |  Matuta, ae f
matutinus |  matutinus, a, um
Mauri |  Mauri, orum m
maxilla |  maxilla, ae f
maxillaris |  maxillaris, e анат.
maxime |  I maxime (maxume) adv.
maximopere |  maximopere
maximus |  maximus (maxumus), a, um superl.
maxume |  maxume
mazonomus |  mazonomus, i m
mea |  mea, ae f
meatus |  meatus, us m
Mebedrolum |  Mebedrol(um, i n
Mebubarbitalum |  Mebubarbital(um, i n
Mecaprinum |  Mecaprin(um, i n
Mechloralum |  Mechloral(um, i n
Mechlorethaminum |  Mechlorethamin(um, i n
Mecodinum |  Mecodin(um, i n
Meconium |  Meconium, i n
meddix |  meddix (medix), icis m
Medea |  Medea, ae f
medeor |  medeor, --, eri
Medi |  Medi, orum m
Media |  Media, ae f
medialis |  medialis, e анат.
medianum |  medianum, i n
medianus |  medianus, a, um
mediastinalis |  mediastinalis, e анат.
mediastinographia |  mediastinographia, ae f
mediastinum |  mediastinum, i n
mediastinus |  mediastinus, i m
medica |  medica, ae f
medicabilis |  medicabilis, e
Medicago |  Medicago, inis f
Medicainum |  Medicain(um, i n
medicamen |  medicamen, inis n
medicamentosus |  medicamentosus, a, um мед.
medicamentum |  medicamentum, i n
medicatus |  I medicatus, a, um part.
medicina |  medicina, ae f
medicinalis |  medicinalis, e мед.
medico |  medico, avi, atum, are
medicor |  medicor, atus sum, ari
medicus |  I medicus, a, um m
