Calvisius |  Calvisius, a, um
calvor |  calvor, --, calvi pass.
calvus |  calvus, a, um
calx |  I calx, calcis f
Calycadnus |  Calycadnus, i m
calyces |  calyces, um f
Calydon |  Calydon, onis f
Calydonis |  I Calydonis, idis f
Calydonius |  Calydonius, a, um
Calymne |  Calymne, es f
Calypso |  Calypso, us (onis) f
camara |  camara, ae f
Camarina |  Camarina, ae f
Cambunii |  Cambunii montes m
Cambyses |  Cambyses, is m
camella |  camella, ae f
camelus |  camelus, i m
Camena |  Camena (Camoena), ae f
camera |  camera (camara), ae f
Cameria |  Cameria, ae f
Camerina |  Camerina (Camarina), ae f
Camerinum |  Camerinum, i n
Camerinus |  Camerinus, a, um
Camerium |  Camerium, i n
Camers |  Camers, ertis
Camertes |  Camertes, ium m
Camertinus |  Camertinus, a, um
Cametonum |  Cameton(um, i n
Camillus |  Camillus, i m
caminus |  caminus, i m
Camirus |  Camirus, i f
Camoena |  Camoena, ae f
Camoludunum |  Camoludunum, i n
Campani |  Campani, orum m
Campania |  Campania, ae f
Campanus |  Campanus, a, um
campester |  campester, stris, stre
campestre |  campestre, is n
Camphatalum |  Camphatal(um, i n
Camphidonium |  Camphidonium, i n
Camphiodum |  Camphiod(um, i n
Camphocinum |  Camphocin(um, i n
Camphodalum |  Camphodal(um, i n
Camphonium |  Camphonium, i n
Camphora |  Camphora, ae f
Camphoratus |  Camphoratus, a, um фармац.
Campolonum |  Campolon(um, i n
campus |  campus, i m
camurus |  camurus, a, um
Canace |  Canace, es f
Canae |  Canae, arum f
canalis |  canalis, is m
Canastrum |  Canastrum, i n
cancelli |  cancelli, orum m
cancer |  cancer, eri m
cancerogenus |  cancerogenus, a, um мед.
cancerophobia |  cancerophobia, ae f
Candavia |  Candavia, ae f
candela |  candela, ae f
candelabrum |  candelabrum, bri n
candeo |  candeo, ui, --, ere
candesco |  candesco, dui, --, are
candidatus |  I candidatus, a, um m
candidus |  candidus, a, um
candor |  candor, oris m
caneo |  caneo, --, --, ere
canephoros |  canephoros, i pl.
canesco |  canesco, nui, --, ere
Cangi |  Cangi, orum m
cani |  cani, orum m
canicula |  canicula, ae f
caniculares |  caniculares, ium n
Canidius |  Canidius, a, um
Caninianus |  Caninianus, a, um
Caninius |  Caninius, a, um
caninus |  caninus, a, um анат.
Canis |  I Canis, is m
canistrum |  canistrum, i n
canities |  canities, ei f
canna |  canna, ae f
Cannae |  Cannae, arum f
Cannensis |  Cannensis, e
Canniefas |  Canniefas, atis
Canniefates |  Canniefates, ium m
cano |  cano, cecini, cantum, ere воен.
Canopeus |  Canopeus, a, um
Canopitae |  Canopitae, arum m
Canopus |  Canopus, i m
canor |  canor, oris m
canorus |  canorus, a, um
Cantabri |  Cantabri, orum m
Cantabria |  Cantabria, ae f
Cantabricus |  Cantabricus, a, um
Cantazinum |  Cantazin(um, i n
canterius |  canterius, i m
cantharis |  cantharis, idis f
cantharus |  cantharus, i m
cantherius |  cantherius (canterius), i m
canthus |  canthus, i m
canticum |  canticum, i n
Cantium |  Cantium, i n
canto |  canto, avi, atum, are
cantor |  cantor, oris m
Cantrexum |  Cantrex(um, i n
cantus |  cantus, us m
Canulejus |  Canulejus, a, um
canus |  canus, a, um поэт.
Canusini |  Canusini, orum m
Canusinus |  Canusinus, a, um
Canusium |  Canusium, i n
Capaneus |  I Capaneus, a, um m
capax |  capax, acis
capella |  I capella, ae f
Capena |  Capena, ae f
Capenas |  Capenas, atis
Capenates |  Capenates, ium m
Capenus |  Capenus, a, um
caper |  caper, pri m
capesso |  capesso, ivi (ii), itum, ere
Caphareus |  I Caphareus, a, um m
capillare |  capillare, is n
capillaris |  capillaris, e анат.
capillatus |  capillatus, a, um
capilli |  capilli, orum m
capillus |  capillus, i m
capio |  capio, cepi, captum, ere pass.
capis |  capis, idis f
capistro |  capistro, (avi), atum, are
capistrun |  capistrun, i n
capital |  capital, alis n
capitalis |  capitalis, e
capitatis |  capitatis, e анат.
capitatus |  capitatus, a, um анат.
Capitinus |  Capitinus, a, um
Capitium |  Capitium, i n
Capitolinus |  I Capitolinus, a, um
Capitolium |  Capitolium, i n
capitulatim |  capitulatim adv.
capitulum |  capitulum, i n
Cappadoces |  Cappadoces, um m
Cappadocia |  Cappadocia, ae f
capra |  capra, ae f
caprea |  caprea, ae f
Capreae |  Capreae, arum f
Capreensis |  Capreensis, e
capreolus |  capreolus, i m
Capricornus |  Capricornus, i m
caprificus |  caprificus, i f
caprigenus |  caprigenus, а, um
caprinus |  caprinus, a, um
capripes |  capripes, edis
Capsa |  I Capsa, ae f
capsella |  capsella, ae f
Capsenses |  Capsenses, ium m
capsicum |  capsicum, i n
Capsinum |  Capsin(um, i n
Capsitrinum |  Capsitrin(um, i n
capsula |  capsula, ae f
capsus |  capsus, i m
captator |  captator, oris m
captio |  captio, onis f
captiosus |  captiosus, a, um
captivitas |  captivitas, atis f
captivus |  captivus, a, um
capto |  capto, avi, atum, are
captus |  captus, us m
Capua |  Capua, ae f
capulus |  capulus, i m
caput |  caput, itis n
Capys |  Capys, yis m
Car |  Car, Caris m
Caralitani |  Caralitani, orum m
Caralitanus |  Caralitanus, a, um
Caralitis |  Caralitis, idis f
carbacholinum |  carbacholin(um, i n
Carbadalum |  Carbadal(um, i n
Carbamazinum |  Carbamazin(um, i n
Carbamidum |  Carbamid(um, i n
Carbaminoylcholinum |  Carbaminoylcholin(um, i n
Carbarnazepinum |  Carbarnazepin(um, i n
Carbarsonum |  Carbarson(um, i n
carbaseus |  carbaseus, a, um
carbasus |  carbasus, i f
Carbazonum |  Carbazon(um, i n
Carbidinum |  Carbidin(um, i n
Carbilazinum |  Carbilazin(um, i n
carbo |  carbo, onis m
Carbochromenum |  Carbochromen(um, i n
Carbogenum |  Carbogen(um, i n
Carbolenum |  Carbolen(um, i n
carbonas |  carbonas, atis m
Carboneum |  Carboneum, i n
Carbonicus |  Carbonicus, a, um хим.
Carbophosum |  Carbophos(um, i n
Carbromalum |  Carbromal(um, i n
Carbutamidum |  Carbutamid(um, i n
Carcaso |  Carcaso (Carcasso), onis f
Carcasso |  Carcasso, onis f
carcer |  carcer, eris m
carchesium |  carchesium, i n
carcinoma |  carcinoma, atis n
cardaces |  cardaces, um m
cardia |  I cardia, ae f
cardiacus |  cardiacus, а, um анат.
Carsulae |  Carsulae, arum f
Carteja |  Carteja, ae f
Cartejensis |  Cartejensis, e
Carthaea |  Carthaea, ae f
Carthaeus |  Carthaeus, a, um
Carthaginienses |  Carthaginienses, ium m
Carthaginiensis |  Carthaginiensis, e
Carthago |  Carthago, inis f
carthamoides |  carthamoides, is фармац.
Carthejus |  Carthejus, a, um
cartilagineus |  cartilagineus, a, um анат.
cartilaginosus |  cartilaginosus, a, um анат.
cartilago |  cartilago, inis f
caruncula |  caruncula, ae f
carus |  I carus, a, um m
Carvasinum |  Carvasin(um, i n
Caryae |  Caryae, arum f
caryogamia |  caryogamia, ae f
caryologia |  caryologia, ae f
Caryolysinum |  Caryolysin(um, i n
Carysteus |  Carysteus, a, um
Carystii |  Carystii, orum m
Carystius |  Carystius, a, um
Carystus |  Carystus, i f
casa |  casa, ae f
Casantinum |  Casantin(um, i n
Casca |  Casca, ae m
cascus |  cascus, a, um
caseosus |  caseosus, a, um
caseta |  caseta, ae f
caseus |  caseus, i m
casia |  casia, ae f
Casilinenses |  Casilinenses, ium m
Casilinum |  Casilinum, i n
Casinas |  Casinas, atis
Casinum |  Casinum, i n
Casperia |  Casperia, ae f
Caspius |  Caspius, a, um
Cassandra |  Cassandra, ae f
Cassandrea |  Cassandrea f
Cassandrenses |  Cassandrenses, ium m
Cassandreus |  Cassandreus (=Cassandre^us), ei m
cassia |  I cassia, ae f
Cassianus |  Cassianus, a, um
cassida |  cassida, ae f
Cassiope |  I Cassiope, es f
cassis |  I cassis, idis f
Cassius |  Cassius, a, um
cassus |  cassus, a, um
Castalia |  Castalia, ae f
Castalius |  Castalius, a, um
castanea |  castanea, ae f
caste |  caste adv.
castellani |  castellani, orum m
castellatim |  castellatim adv.
castellum |  castellum, i n
castigatio |  castigatio, onis f
castigator |  castigator, oris m
castigatus |  castigatus, a, um
castigo |  castigo, avi, atum, are
castimonia |  castimonia, ae f
castitas |  castitas, atis f
castor |  I castor, oris m
castoreum |  castoreum, i n
castra |  I castra, orum n
castrensis |  castrensis, e
castro |  castro, avi, atum, are
castrum |  I castrum, i n
Castulo |  Castulo, onis m
Castulonensis |  Castulonensis, e
castus |  castus, a, um
casu |  casu adv.
casula |  casula, ae f
casus |  casus, us m
Catabathmus |  Catabathmus, i m
Catadupa |  Catadupa, orum n
Catalauni |  Catalauni, orum m
Catamitus |  Catamitus, i m
Catane |  Catane, es f
Catanilum |  Catanil(um, i n
Cataonia |  Cataonia, ae f
cataphractus |  cataphractus, a, um
cataplus |  cataplus, i m
Catapresanum |  Catapresan(um, i n
catapulta |  catapulta, ae f
Catapyrinum |  Catapyrin(um, i n
cataracta |  cataracta (catarracta), ae f
cataraсtes |  cataraсtes, ae m
catarracta |  catarracta, ae f
cate |  cate adv.
cateja |  cateja, ae f
catella |  catella, ae f
catellus |  catellus, i m
catena |  catena, ae f
catenatus |  catenatus, a, um
caterva |  caterva, ae f
catervatim |  catervatim adv.
catharticus |  catharticus, a, um, i n
cathedra |  cathedra, ae f
Cathocinum |  Cathocin(um, i n
Cathomycinum |  Cathomycin(um, i n
Catianus |  Catianus, a, um
Catilina |  Catilina, ae m
Catilinarius |  Catilinarius, a, um
Catillus |  Catillus (Catilus), i m
catillus |  catillus, i m
Catina |  Catina, ae f
Catinensis |  Catinensis, e
catinus |  catinus, i m
Catius |  Catius, i m
Cato |  Cato, onis m
Catonianus |  Catonianus, a, um
Catonini |  Catonini, orum m
Catti |  Catti
Catullus |  Catullus, i m
catulus |  catulus, i m
Caturiges |  Caturiges, um m
catus |  catus, a, um
Caucasius |  Caucasius, a, um
Caucasus |  Caucasus, i m
cauda |  cauda, ae f
caudalis |  caudalis, e анат.
caudatus |  caudatus, a, um
caudex |  caudex, icis m
Caudini |  Caudini, orum m
Caudinus |  Caudinus, a, um
Caudium |  Caudium, i n
caulae |  caulae (caullae), arum f
caulis |  caulis, is m
caullae |  caullae, arum f
caulogenus |  caulogenus, a, um бот.
Caulon |  Caulon, onis m
Caulonia |  Caulonia, ae f
Cauneae |  Cauneae, arum f
Caunei |  Caunei, orum m
Cauneus |  Cauneus, a, um
Caunii |  Caunii, orum m
Caunius |  Caunius, a, um
Caunus |  Caunus, i f
caupo |  caupo (copo), onis m
caupona |  caupona, ae f
cauponula |  cauponula, ae f
Caurus |  Caurus (Corus), i m
causa |  causa (caussa), ae f
causarii |  causarii, orum m
causarius |  causarius, a, um
causidicus |  causidicus, i m
causor |  causor, atus sum, ari
caussa |  caussa, ae f
caute |  caute adv.
cautes |  cautes, is f
cautio |  cautio, onis f
cautor |  cautor, oris m
cautus |  cautus, a, um
cavea |  cavea, ae f
caveo |  caveo, cavi, cautum, ere юр.
caverna |  caverna, ae f
cavernalis |  cavernalis, e анат.
cavernosus |  cavernosus, a, um анат.
Cavicornia |  Cavicornia, ium n
