Ferrobionum |  Ferrobion(um, i n
Ferrocalum |  Ferrocal(um, i n
Ferroceronum |  Ferroceron(um, i n
Ferrohaematogenum |  Ferrohaematogen(um, i n
ferrugineus |  I ferrugineus, a, um анат.
ferrugo |  ferrugo, inis f
ferrum |  ferrum, i n
Fertiligenum |  Fertiligen(um, i n
fertilis |  fertilis, e поэт.
fertilitas |  fertilitas, atis f
ferula |  ferula, ae f
ferus |  I ferus, a, um m
fervefacio |  fervefacio, feci, factum, ere
fervens |  fervens, entis
ferveo |  ferveo, bui, --, ere поэт.
fervidus |  fervidus, a, um
fervo |  fervo, vi, --, ere
fervor |  fervor, oris m
fessus |  fessus, a, um
festinanter |  festinanter adv.
festinatio |  festinatio, onis f
festino |  festino, avi, atum, are
festinus |  festinus, a, um
festive |  festive adv.
festivitas |  festivitas, atis f
festivus |  festivus, a, um
festum |  festum, i n
festus |  festus, a, um
feta |  feta, ae f
fetialis |  I fetialis, e m
fetidus |  fetidus, a, um
fetura |  fetura, ae f
fetus |  I fetus (foetus), a, um поэт.
FF |  FF сокр. от
FF. |  FF. сокр. от
fibra |  fibra, ae f
Fibrinogenum |  Fibrinogen(um, i n
Fibrinoiysinum |  Fibrinoiysin(um, i n
fibrocartilagineus |  fibrocartilagineus, a, um анат.
fibrocartilago |  fibrocartilago, inis f
fibroelasticus |  fibroelasticus, a, um анат.
fibroma |  fibroma, atis n
fibromyoma |  fibromyoma, atis n
fibrosis |  fibrosis, is f
fibrosus |  fibrosus, a, um анат.
fibula |  fibula, ae f
fibularis |  fibularis, e анат.
fibulocalcanearis |  fibulocalcanearis, e анат.
ficte |  ficte adv.
fictile |  fictile, is n
fictilis |  fictilis, e
fictor |  fictor, oris m
fictum |  fictum, i n
fictus |  I fictus, a, um m
ficulnus |  ficulnus, a, um
ficus |  ficus, i f
fidelis |  fidelis, e
fidelitas |  fidelitas, atis f
fideliter |  fideliter adv.
fidens |  fidens, entis
fides |  I fides, ei f
fidicen |  fidicen, inis m
fidicina |  fidicina, ae f
fidiculae |  fidiculae, arum f
fido |  fido, fisus sum, ere
fiducia |  fiducia, ae f
fiduciarius |  fiduciarius, a, um
fidus |  fidus, a, um
figo |  figo, fixi, fixum, ere
figura |  figura, ae f
figuro |  figuro, avi, atum, are
filia |  filia, ae f
filiformis |  filiformis, e
filiola |  filiola, ae f
filiolus |  filiolus, i m
filius |  filius, i m
filix |  filix, icis f
Filixanum |  Filixan(um, i n
filum |  filum, i n
fimbria |  fimbria, ae f
fimbriae |  fimbriae, arum f
fimbriatus |  fimbriatus, a, um анат.
fimum |  fimum, i n
fimus |  fimus, i m
findo |  findo, fidi, fissum, ere pass.
fingo |  fingo, finxi, fictum, ere
finiens |  finiens, entis m
finio |  finio, ivi, itum, ire
finis |  finis, is m
finitimi |  finitimi, orum m
finitimus |  finitimus (finitumus), a, um
finitor |  finitor, oris m
finitumus |  finitumus, a, um
fio |  fio, factus sum, fieri pass.
firmamen |  firmamen, inis n
firmamentum |  firmamentum, i n
Firmicutes |  Firmicutes, ium m
firmitas |  firmitas, atis f
firmiter |  firmiter adv.
firmitudo |  firmitudo, inis f
firmo |  firmo, avi, atum, are
firmus |  firmus, a, um воен.
fiscella |  fiscella, ae f
fiscina |  fiscina, ae f
fiscus |  fiscus, i m
fissilis |  fissilis, e
fissura |  fissura, ae f
fissus |  fissus, a, um анат.
fistuca |  fistuca, ae f
fistula |  fistula, ae f
fistulosus |  fistulosus, a, um анат.
fistulotomia |  fistulotomia, ae f
fixatio |  fixatio, onis f
fixus |  fixus, a, um анат.
Fl |  Fl сокр. от
Flabellinum |  Flabellin(um, i n
flabellum |  flabellum, i n
flabrum |  flabrum, i n
flaccidus |  flaccidus, a, um анат.
flaccus |  flaccus, a, um
flagella |  flagella, ae f
flagello |  flagello, avi, atum, are
flagellum |  flagellum, i n
Flagesolum |  Flagesol(um, i n
flagitatio |  flagitatio, onis f
flagitatur |  flagitatur, oris m
flagitiose |  flagitiose adv.
flagitiosus |  flagitiosus, a, um
flagitium |  flagitium, i n
flagito |  flagito, avi, atum, are
flagrans |  flagrans, antis
flagrantia |  flagrantia, ae f
flagro |  flagro, avi, atum, are
flagrum |  flagrum, i n
Flagylum |  Flagyl(um, i n
flamen |  I flamen, inis m
flaminica |  flaminica, ae f
flaminium |  flaminium, i n
flamma |  flamma, ae f
flammeus |  flammeus, a, um
flammifer |  flammifer, era, erum
flammo |  flammo, avi, atum, are
Flamotidum |  Flamotid(um, i n
flasco |  flasco, onis f
flatus |  flatus, us m
Flavaxinum |  Flavaxin(um, i n
flaveo |  flaveo, --, --, ere
flavesco |  flavesco, --, --, ere
flavimaculatus |  flavimaculatus, a, um
Flavinum |  Flavin(um, i n
Flavipinum |  Flavipin(um, i n
Flavitolum |  Flavitol(um, i n
Flavius |  Flavius, a, um
Flavofunginum |  Flavofungin(um, i n
Flavugalum |  Flavugal(um, i n
flavus |  flavus, a, um поэт.
flebilis |  flebilis, e
flebiliter |  flebiliter adv.
flecto |  flecto, flexi, flexum, ere
Flegylum |  Flegyl(um, i n
fleo |  fleo, flevi, fletum, ere
fletus |  fletus, us m
flexanimus |  flexanimus, a, um
flexibilis |  flexibilis, e
flexilis |  flexilis, e
flexio |  flexio, onis f
flexipes |  flexipes, edis
flexor |  flexor, oris m
flexuosus |  flexuosus, a, um
flexura |  flexura, ae f
flexus |  I flexus, a, um анат.
flictus |  flictus, us m
flo |  flo, avi, atum, are
flocculus |  flocculus, i m
Flogicortum |  Flogicort(um, i n
Flora |  Flora, ae f
florens |  florens, entis
floreo |  floreo, ui, --, ere
floresco |  floresco, --, --, ere
floreus |  floreus, a, um
floridus |  floridus, a, um
floriger |  floriger, era, erum бот.
florilegus |  florilegus, a, um
flos |  flos, floris m
flosculus |  flosculus, i m
Flp |  Flp сокр. от
Flucortum |  Flucort(um, i n
Fluctanum |  Fluctan(um, i n
fluctuans |  fluctuans, antis
fluctuatio |  fluctuatio, onis f
fluctuo |  fluctuo, avi, atum, are
fluctuor |  fluctuor, atus sum, ari
fluctus |  fluctus, us m
fluens |  fluens, entis
fluentum |  fluentum, i n
fluidus |  fluidus, a, um
fluito |  fluito, avi, atum, are
Flumazinum |  Flumazin(um, i n
flumen |  flumen, inis n
Flumezinum |  Flumezin(um, i n
flumineus |  flumineus, a, um
Flumoperonum |  Flumoperon(um, i n
fluo |  fluo, fluxi, fluxum, ere
Fluocortolonum |  Fluocortolon(um, i n
Fluosterolonum |  Fluosterolon(um, i n
Fluothanum |  Fluothan(um, i n
Fluphenazinum |  Fluphenazin(um, i n
fluvialis |  fluvialis (fluviatilis), e
fluviatilis |  fluviatilis, e
fluvius |  fluvius, i m
fluxus |  fluxus, a, um
focale |  focale, is n
foculus |  foculus, i m
focus |  focus, i m
fodico |  fodico, --, --, are
fodio |  fodio, fodi, fossum, ere
foecund |  foecund...
foede |  foede adv.
foederatus |  foederatus, a, um
foeditas |  foeditas, atis f
foedo |  foedo, avi, atum, are
foedus |  I foedus, a, um n
foem |  foem...
foen |  foen...
Foeniculum |  Foeniculum, i n
foenum |  foenum, i n
foetidus |  foetidus (fetidus), a, um
foetor |  foetor, oris m
foetus |  foetus, a, um
Folacidum |  Folacid(um, i n
Folacinum |  Folacin(um, i n
Folaminum |  Folamin(um, i n
Folcidinum |  Folcidin(um, i n
Folestrinum |  Folestrin(um, i n
foliatus |  foliatus, a, um анат.
Folicilum |  Folicil(um, i n
folium |  folium, i n
Folliculinum |  Folliculin(um, i n
folliculus |  folliculus, i m
Follidrinum |  Follidrin(um, i n
Follikoratum |  Follikorat(um, i n
follis |  I follis, is m
Folsanum |  Folsan(um, i n
Folvitum |  Folvit(um, i n
fomentum |  fomentum, i n
fomes |  fomes, itis m
fons |  fons, fontis m
fontanus |  fontanus, a, um
fonticulus |  fonticulus, i m
fontinalis |  fontinalis, e
Fonuritum |  Fonurit(um, i n
for |  for, fatus sum, fari
forabilis |  forabilis, e
foramen |  foramen, inis n
foraminalis |  foraminalis, e анат.
foraminosus |  foraminosus, a, um анат.
Forapinum |  Forapin(um, i n
foras |  foras adv.
forceps |  I forceps, ipis f
forda |  forda, ae f
Fordetolum |  Fordetol(um, i n
fordus |  fordus, a, um
fore |  fore inf.
forem |  forem
forensie |  forensie, e
foris |  I foris adv.
forma |  forma, ae f
Formalinum |  Formalin(um, i n
Formaminum |  Formamin(um, i n
formatio |  formatio, onis f
formica |  formica, ae f
formidabilis |  formidabilis, e
formido |  I formido, avi, atum, are f
formidolose |  formidolose (formidulose) adv.
formidolosus |  formidolosus, a, um
Formidonum |  Formidon(um, i n
Formidronum |  Formidron(um, i n
formidulose |  formidulose
formo |  formo, avi, atum, are
formositas |  formositas, atis f
formosus |  formosus, a, um
formula |  formula, ae f
Fornacalia |  Fornacalia, ium
fornacalis |  fornacalis, e
fornax |  fornax, acis f
fornicatus |  fornicatus, a, um
fornix |  fornix, icis m
fors |  fors, (fortis) nom.
forsan |  forsan adv.
forsit |  forsit adv.
forsitan |  forsitan adv.
fortasse |  fortasse adv.
fortassis |  fortassis adv.
Fortecortinum |  Fortecortin(um, i n
fortis |  fortis, e
fortiter |  fortiter adv.
fortitudo |  fortitudo, inis f
fortuito |  fortuito adv.
fortuitus |  fortuitus, a, um
fortuna |  I fortuna, ae f
fortunate |  fortunate adv.
fortunatus |  fortunatus, a, um
fortuno |  fortuno, avi, atum, are
forum |  forum, i n
forus |  forus, i m
Fosfoverminum |  Fosfovermin(um, i n
fossa |  fossa, ae f
fossilis |  fossilis, e совр.
fossor |  fossor, oris m
fossula |  fossula, ae f
fovea |  fovea, ae f
foveo |  foveo, fovi, fotum, ere
foveola |  foveola, ae f
fractus |  fractus, a, um
fraen |  fraen...
Fragaria |  Fragaria, ae f
fragilis |  fragilis, e
fragmen |  fragmen, inis n
fragmentum |  fragmentum, i n
fragor |  fragor, oris m
fragosus |  fragosus, a, um
fragro |  fragro, --, --, are
fragum |  fragum, i n
Framycetinum |  Framycetin(um, i n
Franginum |  Frangin(um, i n
frango |  frango, fregi, fractum, ere pass.
Frangula |  Frangula, ae f
frater |  frater, tris m
fraterculus |  fraterculus, i m
fraterne |  fraterne adv.
fraternus |  fraternus, a, um
fratidulentus |  fratidulentus, a, um
fratricida |  fratricida, ae m
fraudatio |  fraudatio, onis f
fraudator |  fraudator, oris m
fraudo |  fraudo, avi, atum, are
fraus |  fraus, fraudis f
fraxineus |  fraxineus
fraxinus |  I fraxinus, a, um f
fremebundus |  fremebundus, a, um
fremitus |  fremitus, us m
fremo |  fremo, ui, itum, ere
fremor |  fremor, oris m
frendo |  frendo, --, --, ere
freno |  freno, avi, atum, are
Frenolonum |  Frenolon(um, i n
frenulum |  frenulum, i n
frenum |  frenum, i n
frequens |  frequens, entis
frequenter |  frequenter adv.
frequentia |  frequentia, ae f
frequento |  frequento, avi, atum, are
fretum |  fretum, i n
fretus |  I fretus, a, um m
frico |  frico, fricui, fricatum, are
frigeo |  frigeo, frixi, --, ere
frigesco |  frigesco, frixi, --, ere
frigide |  frigide adv.
frigidulus |  frigidulus, a, um
frigidus |  frigidus, a, um поэт.
frigo |  frigo, frixi, frictum, ere
frigus |  frigus, oris n
frivolus |  frivolus, a, um
frondator |  frondator, oris m
frondeo |  frondeo, dui, --, ere
frondesco |  frondesco, --, --, ere
frondeus |  frondeus, a, um
frondosus |  I frondosus, a, um анат.
frons |  I frons, frondis f
frontale |  frontale, is n
frontalis |  frontalis, e анат.
fronto |  fronto, onis m
frontoparietalis |  frontoparietalis, e анат.
frontopontinus |  frontopontinus, a, um анат.
fructifer |  fructifer, era, erum бот.
fructivorus |  fructivorus, a, um зоолог.
fructuosus |  fructuosus, a, um
fructus |  fructus, us m
frugalis |  frugalis, e
frugalitas |  frugalitas, atis f
frugaliter |  frugaliter adv.
frugi |  frugi adj.
frugifer |  frugifer, era, erum
frugilegus |  frugilegus, a, um
frumentarius |  I frumentarius, a, um m
frumentatio |  frumentatio, onis f
frumentator |  frumentator, oris m
frumentor |  frumentor, atus sum, ari
frumentum |  frumentum, i n
Frumtosnilum |  Frumtosnil(um, i n
fruor |  fruor, fruitus
Frusemidum |  Frusemid(um, i n
frustra |  frustra adv.
frustratio |  frustratio, onis f
frustro |  frustro, avi, atum, are pass.
frustror |  frustror, atus sum, ari
frustum |  frustum, i n
frutex |  frutex, icis m
fruticetum |  fruticetum, i n
Fruticinum |  Fruticin(um, i n
fruticor |  fruticor, --, ari
fruticosus |  fruticosus, a, um
frux |  frux, frugis f
Ftivazidum |  Ftivazid(um, i n
Ftorokortum |  Ftorokort(um, i n
Fubromeganum |  Fubromegan(um, i n
fucatus |  fucatus, a, um
Fucidinum |  Fucidin(um, i n
fuco |  fuco, avi, atum, are
fucosus |  fucosus, a, um
fucus |  I fucus, i m
fuga |  fuga, ae f
fugacius |  fugacius adv.
fugax |  fugax, acis
fugiens |  fugiens, entis
fugio |  fugio, fugi, fugitum, ere
fugitivus |  fugitivus, a, um
fugito |  fugito, avi, atum, are
fugo |  fugo, avi, atum, are
fulcimen |  fulcimen, inis n
Fulcinum |  Fulcin(um, i n
fulcrum |  fulcrum, i n
fulgeo |  fulgeo, fulsi, --, ere
fulgo |  fulgo
fulgor |  fulgor, oris m
fulgur |  fulgur, uris n
fulguro |  fulguro, avi, atum, are
fulica |  fulica, ae f
fuligo |  fuligo, inis f
fulix |  fulix, icis f
fullo |  fullo, onis m
fulmen |  fulmen, inis m
fulmineus |  fulmineus, a, um
fulmino |  fulmino, avi, atum, are impers.
fultura |  fultura, ae f
Fulvicinum |  Fulvicin(um, i n
Fulvistatinum |  Fulvistatin(um, i n
fulvus |  fulvus, a, um
fumaculum |  fumaculum, i n
fumeus |  fumeus, a, um
fumidus |  fumidus, a, um
fumifer |  fumifer, era, erum
fumifico |  fumifico, avi, atum, are совр.
fumisugium |  fumisugium, i n
fumo |  fumo, avi, atum, are совр.
fumosus |  fumosus, a, um
fumus |  fumus, i m
funale |  funale, is n
funambulus |  funambulus, i m
functio |  I functio, onis f
functionalis |  functionalis, e
funda |  funda, ae f
fundamen |  fundamen, inis n
fundamentum |  fundamentum, i n
fundator |  fundator, oris m
fundatus |  fundatus, a, um
fundiformis |  fundiformis, e анат.
funditor |  funditor, oris m
funditus |  funditus adv.
fundo |  I fundo, avi, atum, are pass.
fundus |  fundus, i m
funebris |  funebris, e поэт.
funereus |  funereus, a, um поэт.
funero |  funero, avi, atum, are
funesto |  funesto, avi, atum, are
funestus |  funestus, a, um
Fungicidinum |  Fungicidin(um, i n
fungitormis |  fungitormis, e анат.
Fungivinum |  Fungivin(um, i n
fungor |  fungor, functus sum, fungi
fungus |  fungus, i m
funiculus |  funiculus, i m
funis |  funis, is m
funus |  funus, eris n
fuo |  fuo, fui, futurus, ere
fur |  fur, furis m
Furacilinum |  Furacilin(um, i n
Furacinum |  Furacin(um, i n
furaciter |  furaciter adv.
Furadantinum |  Furadantin(um, i n
Furadoninum |  Furadonin(um, i n
Furaginum |  Furagin(um, i n
Furaldonum |  Furaldon(um, i n
Furaltadonum |  Furaltadon(um, i n
Furanthrilum |  Furanthril(um, i n
Furapiastum |  Furapiast(um, i n
furax |  furax, acis
Furazolinum |  Furazolin(um, i n
Furazonalum |  Furazonal(um, i n
furca |  furca, аe f
furcifer |  furcifer, eri m
furcilla |  furcilla, ae f
furcula |  furcula, ae f
furia |  furia, ae f
furialis |  furialis, e поэт.
furialiter |  furialiter adv.
furiatus |  furiatus, a, um
furibundus |  furibundus, a, um
furio |  furio, avi, atum, are
furiosus |  furiosus, a, um
Furmethonolum |  Furmethonol(um, i n
furnus |  furnus, i m
furo |  furo, --, --, ere
furor |  I furor, atus sum, ari m
Furoxonum |  Furoxon(um, i n
furtim |  furtim adv.
furtive |  furtive adv.
furtivus |  furtivus, a, um
furto |  furto adv.
furtum |  furtum, i n
furunculus |  furunculus, i m
furvus |  furvus, a, um
fusco |  fusco, avi, atum, are
fuscus |  fuscus, a, um
fusiformis |  fusiformis, e анат.
fusilis |  fusilis, e
fustis |  fustis, is m
fustuarium |  fustuarium, i n
fusus |  I fusus, a, um m
futilis |  futilis, e
futurum |  futurum, i n
futurus |  futurus, a, um part.
Fuxalum |  Fuxal(um, i n
