redamo |  redamo, --, --, are
redardesco |  redardesco, --, --, ere
redarguo |  redarguo, ui, utum, ere
redarius |  redarius, i m
reddo |  reddo, didi, ditum, ere юр.
redemptio |  redemptio, onis f
redempto |  redempto, --, --, are
redemptor |  redemptor, oris m
redemptura |  redemptura, ae f
redeo |  redeo, ii (ivi), itum, ire
Redergamum |  Redergam(um, i n
redhibeo |  redhibeo, bui, bitum, ere
redigo |  redigo, egi, actum, ere
redimiculum |  redimiculum, i n
Redimilum |  Redimil(um, i n
redimio |  redimio, ii, itum, ire
redimo |  redimo, emi, emptum (emtum), ere
redintegratio |  redintegratio, onis f
redintegro |  redintegro, avi, atum, are
reditio |  reditio, onis f
reditus |  reditus, us m
redivivum |  redivivum, i n
redivivus |  redivivus, a, um
redoleo |  redoleo, ui, --, ere
Redomexum |  Redomex(um, i n
redomitus |  redomitus, a, um
redono |  redono, avi, --, are
Redoxonum |  Redoxon(um, i n
reduco |  reduco, duxi, ductum, ere воен.
reductio |  reductio, onis f
reductor |  reductor, oris m
reductus |  reductus, a, um хим.
reduncus |  reduncus, a, um
redundantia |  redundantia, ae f
redundo |  redundo, avi, atum, are
reduvia |  reduvia, ae f
redux |  redux, ucis
refello |  refello, felli, --, ere
refercio |  refercio, fersi, fertum, ire
referio |  referio, --, ire
refero |  refero, tuli, latum, ferre pass.
refert |  refert, retulit, --, referre impers.
refertus |  refertus, a, um
referveo |  referveo, --, --, ere
refervesco |  refervesco, --, --, ere
reficio |  reficio, feci, fectum, ere
refigo |  refigo, fixi, fixum, ere
refingo |  refingo, --, --, ere
reflatus |  reflatus, us m
reflecto |  reflecto, flexi, flexum, ere pass.
reflexus |  reflexus, us m
reflo |  reflo, avi, atum, are
refluo |  refluo, fluxi, --, ere
refluus |  refluus, a, um
Refobacinum |  Refobacin(um, i n
reformidatio |  reformidatio, onis f
reformido |  reformido, avi, atum, are
reformo |  reformo, avi, atum, are
refoveo |  refoveo, fovi, fotum, ere
refractariolus |  refractariolus, a, um
refraeno |  refraeno
refragor |  refragor, atus sum, ari
refreno |  refreno, avi, atum, are
refrico |  refrico, fricui, fricatum, are
refrigero |  refrigero, avi, atum, are pass.
refrigesco |  refrigesco, frixi, --, ere
refringo |  refringo, fregi, fractum, ere
refugio |  refugio, fugi, fugitum, ere
refugium |  refugium, i n
refugus |  refugus, a, um поэт.
refulgeo |  refulgeo, fulsi, --, ere
refundo |  refundo, fudi, fusum, ere поэт.
Refusalum |  Refusal(um, i n
refutatio |  refutatio, onis f
refuto |  refuto, avi, atum, are
regalis |  regalis, e
regaliter |  regaliter adv.
Regelanum |  Regelan(um, i n
regemo |  regemo, --, --, ere
regenerator |  regenerator, oris m
Regenonum |  Regenon(um, i n
regero |  regero, gessi, gestum, ere
regia |  regia, ae f
regie |  regie adv.
regificus |  regificus, a, um
regii |  regii, orum m
regimen |  regimen, inis n
regina |  regina, ae f
regio |  regio, onis f
regionatim |  regionatim adv.
Regitinum |  Regitin(um, i n
Regium |  Regium, i n
regius |  regius, a, um
regnator |  regnator, oris m
regnatrix |  regnatrix, icis f
regno |  regno, avi, atum, are
regnum |  regnum, i n
rego |  rego, rexi, rectum, ere
regredior |  regredior, gressus sum, gredi
regressus |  regressus, us m
regula |  regula, ae f
regulus |  I regulus, i m
regusto |  regusto, avi, atum, are
reicio |  reicio
reinfectio |  reinfectio, onis f
rejectanea |  rejectanea, orum n
rejectaneus |  rejectaneus, a, um
rejectio |  rejectio, onis f
rejectus |  rejectus, a, um
rejiciendus |  rejiciendus, a, um
rejicio |  rejicio (reicio), jeci, jectum, ere воен.
relabor |  relabor, lapsus sum, labi поэт.
Reladormum |  Reladorm(um, i n
relanguesco |  relanguesco, langui, --, ere
Relanium |  Relanium, i n
relatio |  relatio, onis f
relator |  relator, oris m
relatus |  relatus, us m
relaxatio |  relaxatio, onis f
relaxo |  relaxo, avi, atum, are pass.
Relaxylum |  Relaxyl(um, i n
relegatio |  relegatio, onis f
relego |  I relego, avi, atum, are
relentesco |  relentesco, --, --, ere
relevo |  relevo, avi, atum, are pass.
relictio |  relictio, onis f
relictum |  relictum, i n
relicuus |  relicuus, а, um
religatio |  religatio, onis f
religio |  religio, onis f
religiose |  religiose adv.
religiosus |  religiosus, a, um
religo |  religo, avi, atum, are поэт.
relino |  relino, levi, litum, ere
relinquo |  relinquo, liqui, lictum, ere
reliqua |  reliqua, orum n
reliquiae |  reliquiae, arum f
reliquus |  reliquus, a, um
rellig |  rellig...
reluceo |  reluceo, luxi, --, ere
relucesco |  relucesco, luxi, --, ere
reluctor |  reluctor, atus sum, ari
remaneo |  remaneo, mansi, mansum, ere
remansio |  remansio, onis f
remedium |  remedium, i n
remeo |  remeo, avi, atum, are
remetior |  remetior, mensus sum, iri
remex |  remex, igis m
Remi |  Remi, orum m
remigatio |  remigatio, onis f
remigium |  remigium, i n
remigo |  remigo, avi, atum, are
remigro |  remigro, avi, atum, are
reminiscor |  reminiscor, --, minisci
remisceo |  remisceo, miscui, mistum (mixtum), ere
remisse |  remisse adv.
remissio |  remissio, onis f
remissus |  remissus, a, um
remitto |  remitto, misi, missum, ere pass.
remolior |  remolior, itus sum, iri
remollesco |  remollesco, --, --, ere
remollio |  remollio, ivi, itum, ire
remoramen |  remoramen, inis n
remordeo |  remordeo, mordi, morsum, ere
remoror |  remoror, atus sum, ari
remote |  remote adv.
remotio |  remotio, onis f
remotus |  remotus, a, um
removeo |  removeo, movi, motum, ere
remugio |  remugio, --, --, ire поэт.
remulceo |  remulceo, --, --, ere
remulcum |  remulcum, i n
Remulus |  Remulus, i m
remuneratio |  remuneratio, onis f
remunero |  remunero, --, --, are
remuneror |  remuneror, atus sum, ari
remurmuro |  remurmuro, --, --, are
remus |  I remus, i m
Remyolanum |  Remyolan(um, i n
ren |  ren, renis m
renalis |  renalis, e анат.
Renamidum |  Renamid(um, i n
renarro |  renarro, --, --, are
renascor |  renascor, natus sum, nasci
renavigo |  renavigo, --, --, are
rencularis |  rencularis, e анат.
reneo |  reneo, --, --, ere
renideo |  renideo, --, --, ere поэт.
reniformis |  reniformis, e анат.
