tendineus |  tendineus, a, um анат.
tendinosus |  tendinosus, a, um анат.
tendo |  I tendo, inis m
tendovaginitis |  tendovaginitis, idis f
Teneatum |  Teneat(um, i n
tenebrae |  tenebrae, arum f
tenebricosus |  tenebricosus, a, um
tenebrosus |  tenebrosus, a, um
teneo |  teneo, tenui, tentum, ere воен.
tener |  tener, era, erum
tenericutis |  tenericutis, e биолог.
tenesmos |  tenesmos, i m
tenia |  tenia, ae f
Teniarenum |  Teniaren(um, i n
Teniathanum |  Teniathan(um, i n
Tenicridinum |  Tenicridin(um, i n
Teniotolum |  Teniotol(um, i n
tenoplastica |  tenoplastica, ae f
tenor |  tenor, oris m
tenorrhaphia |  tenorrhaphia, ae f
tenotomia |  tenotomia, ae f
tensa |  tensa, ae f
Tenserpinum |  Tenserpin(um, i n
Tensofinum |  Tensofin(um, i n
Tensonalum |  Tensonal(um, i n
tensor |  tensor, oris m
tensus |  tensus, a, um анат.
tentabundus |  tentabundus, a, um
tentamen |  tentamen, inis n
tentamentum |  tentamentum, i n
tentatio |  tentatio, onis f
tentator |  tentator, oris m
tentigo |  tentigo, inis f
tento |  tento, avi, atum, are поэт.
tentoriolum |  tentoriolum, i n
tentorium |  tentorium, i n
tentus |  tentus, a, um part.
tenuis |  tenuis, e
tenuitas |  tenuitas, atis f
tenuiter |  tenuiter adv.
tenuo |  tenuo, avi, atum, are
tenus |  tenus praep.
Teofenum |  Teofen(um, i n
Teos |  Teos, i f
Tepanilum |  Tepanil(um, i n
tepefacio |  tepefacio, feci, factum, ere
tepeo |  tepeo, --, --, ere
tepesco |  tepesco, tepui, --, ere
tepidus |  tepidus, a, um поэт.
tepor |  tepor, oris m
ter |  ter adv.
Teraplixum |  Teraplix(um, i n
terdecies |  terdecies (terdeciens) adv.
terebinthus |  terebinthus, i f
terebra |  terebra, ae f
terebro |  terebro, avi, atum, are
teredo |  teredo, inis f
Terentius |  Terentius, a, um
teres |  teres, etis
Terfluzinum |  Terfluzin(um, i n
tergeminus |  tergeminus, a, um
tergeo |  tergeo, tersi, tersum, ere
Tergeste |  Tergeste, is n
tergiversatio |  tergiversatio, onis f
tergiversor |  tergiversor, atus sum, ari
tergo |  tergo, tersi, tersum, ere
tergum |  tergum, i n
tergus |  tergus, oris n
Teridinum |  Teridin(um, i n
termes |  termes, itis m
Terminalia |  Terminalia, ium (orum) n
terminalis |  terminalis, e
terminatio |  I terminatio, onis f
termino |  termino, avi, atum, are
Terminus |  Terminus, i m
terminus |  terminus, i m
terni |  terni, ae, a
tero |  tero, trivi, tritum, ere поэт.
Terpsichore |  Terpsichore, es f
terra |  terra, ae f
Terramycinum |  Terramycin(um, i n
terrenum |  terrenum, i n
terrenus |  terrenus, a, um поэт.
terreo |  terreo, terrui, territum, ere
terrester |  terrester, stris, stre
terreus |  terreus, a, um
terribilis |  terribilis, e
terricola |  terricola, ae f
terriculum |  terriculum, i n
terrifico |  terrifico, --, --, are
terrificus |  tcrrificus, a, um
terrigena |  terrigena, ae m
territo |  territo, avi, --, are
territorium |  territorium, i n
terror |  terror, oris m
tersus |  tersus, a, um
tertio |  tertio adv.
tertium |  tertium adv.
tertius |  tertius, a, um поэт.
tesca |  tesca (tesqua), orum n
Tespaminum |  Tespamin(um, i n
tessera |  tessera, ae f
testa |  testa, ae f
testamentarius |  I testamentarius, a, um m
testamentum |  testamentum, i n
testatio |  testatio, onis f
testatus |  testatus, a, um
testicularis |  testicularis, e анат.
testiculus |  testiculus, i m
testificatio |  testificatio, onis f
testificor |  testificor, atus sum, ari
testimonium |  testimonium, i n
testis |  I testis, is m
Testobromlecithum |  Testobromlecith(um, i n
Testodiolum |  Testodiol(um, i n
Testoenatum |  Testoenat(um, i n
Testolutinum |  Testolutin(um, i n
testor |  testor, atus sum, ari
Testoralum |  Testoral(um, i n
testu |  testu n
testudo |  testudo, inis f
testula |  testula, ae f
teter |  teter (taeter), tra, trum
Tethys |  Tethys, yos f
Tetrabonum |  Tetrabon(um, i n
Tetraboras |  Tetraboras, atis m
Tetraceminum |  Tetracemin(um, i n
Tetrachloraethylenum |  Tetrachloraethylen(um, i n
tetrachmum |  tetrachmum (tetradrachmum), i n
Tetracoccus |  Tetracoccus, i m
Tetracyclini |  Tetracyclini hydrochloridum
Tetracyclinum |  Tetracyclin(um, i n
Tetracynum |  Tetracyn(um, i n
Tetradinum |  Tetradin(um, i n
tetrandrus |  tetrandrus, a, um биолог.
Tetranum |  Tetran(um, i n
Tetraoleanum |  Tetraolean(um, i n
tetraphyllus |  tetraphyllus, a, um биолог.
tetrapodus |  tetrapodus, a, um биолог.
tetrapus |  tetrapus, odos биолог.
tetrarches |  tetrarches, ae m
tetrarchia |  tetrarchia, ae f
Tetravitum |  Tetravit(um, i n
tetre |  tetre (taetre) adv.
tetricus |  tetricus, a, um
Tetridinum |  Tetridin(um, i n
tetrodontus |  tetrodontus, a, um биолог.
Teturamum |  Teturam(um, i n
Teucer |  Teucer, cri m
Teucri |  Teucri, orum m
Teutones |  Teutones, um m
Teutonicus |  Teutonicus, a, um
Teviralum |  Teviral(um, i n
texo |  texo, texui, textum, ere поэт.
textile |  textile, is n
textilis |  textilis, e
textor |  textor, oris m
textrinum |  textrinum, i n
textum |  textum, i n
thalamencephalon |  thalamencephalon, i n
thalamicus |  thalamicus, a, um анат.
thalamocorticalis |  thalamocorticalis, e анат.
Thalamonalum |  Thalamonal(um, i n
thalamostriatus |  thalamostriatus, a, um анат.
thalamus |  I thalamus, i m
Thalazolum |  Thalazol(um, i n
Thalazonum |  Thalazon(um, i n
Thales |  Thales, is (etis) m
Thalia |  Thalia, ae f
Thapsos |  Thapsos (-us), i f
Theadrylum |  Theadryl(um, i n
Thealbinum |  Thealbin(um, i n
theatralis |  theatralis, e
theatrum |  theatrum, i n
Thebae |  Thebae, arum f
Thebanus |  Thebanus, a, um
theca |  theca, ae f
Thecodinum |  Thecodin(um, i n
Theelinum |  Theelin(um, i n
Thefylanum |  Thefylan(um, i n
Theinum |  Thein(um, i n
Thelestrinum |  Thelestrin(um, i n
Thelykininum |  Thelykinin(um, i n
Theminalum |  Theminal(um, i n
Themis |  Themis, idis f
Themisalum |  Themisal(um, i n
Themistocles |  Themistocles, is (i) m
thenar |  thenar, aris n
thensa |  thensa
thensaurus |  thensaurus
Theobrominum |  Theobromin(um, i n
Theobrosalum |  Theobrosal(um, i n
Theocinum |  Theocin(um, i n
Theocritus |  Theocritus, i m
Theodinalum |  Theodinal(um, i n
Theodosia |  Theodosia, ae f
Theogonia |  Theogonia, ae f
Theophedrinum |  Theophedrin(um, i n
