Santoninum |  Santonin(um, i n
sanus |  sanus, a, um
saphenus |  saphenus, a, um анат.
sapiens |  I sapiens, entis m
sapienter |  sapienter adv.
sapientia |  sapientia, ae f
sapio |  sapio, ii (ivi, ui), --, ere
sapo |  sapo, onis m
saponatus |  saponatus, a, um
sapor |  sapor, oris m
Sappho |  Sappho, us f
saprophagus |  saprophagus, a, um биолог.
saprophyton |  saprophyton, i n
Saprosanum |  Saprosan(um, i n
sarcina |  sarcina, ae f
sarcinarius |  sarcinarius, a, um
sarcio |  sarcio, sarsi, sartum, ire
Sarcoclorinum |  Sarcoclorin(um, i n
sarcolemma |  sarcolemma, atis n
Sarcolysinum |  Sarcolysin(um, i n
Sarcomycinum |  Sarcomycin(um, i n
sarcoplasma |  sarcoplasma, atis n
sarculum |  sarculum, i n
Sardes |  Sardes (Sardis), ium f
sargus |  sargus, i m
sarisa |  sarisa (sarissa), ae f
sarisophorus |  sarisophorus, i m
Sarmatae |  Sarmatae, arum m
sarmentum |  sarmentum, i n
Sarodorminum |  Sarodormin(um, i n
Sarotenum |  Saroten(um, i n
Sarotexum |  Sarotex(um, i n
Sarracinum |  Sarracin(um, i n
sartor |  sartor, oris m
sartorius |  sartorius, a, um анат.
sat |  sat adv.
sata |  sata, orum n
satago |  satago, --, --, ere
satelles |  I satelles, itis m
satias |  satias, atis f
satietas |  satietas, atis f
satin |  satin' см.
satio |  I satio, avi, atum, are f
satira |  satira, ae f
satis |  satis compar.
satisdatio |  satisdatio, onis f
satisdo |  satisdo, dedi, datum, dare
satisfacio |  satisfacio, feci, factum, ere
satisfactio |  satisfactio, onis f
satius |  satius см.
sator |  sator, oris m
satrapes |  satrapes, ae acc.
satur |  satur, ura, urum поэт.
satura |  satura, ae f
satureja |  satureja, ae f
Saturnalia |  Saturnalia, orum (ium) n
Saturninus |  Saturninus, i m
Saturnus |  Saturnus, i m
saturo |  saturo, avi, atum, are
satus |  I satus, a, um part.
satyra |  satyra
Satyrus |  Satyrus, i m
sauciatio |  sauciatio, onis f
saucio |  saucio, avi, atum, are
saucius |  saucius, a, um поэт.
savillum |  savillum, i n
savior |  savior, atus sum, ari
savium |  savium, i n
saxatilis |  saxatilis, e
saxetum |  saxetum, i n
saxeus |  saxeus, a, um
saxicola |  saxicola, ae f
saxificus |  saxificus, a, um
Saxifraga |  Saxifraga, ae f
saxosus |  saxosus, a, um
saxum |  saxum, i n
scabellum |  scabellum (scabillum), i n
scaber |  scaber, bra, brum
scabies |  scabies, ei f
scabillum |  scabillum, i n
scabo |  scabo, scabi, --, ere
Scaea |  Scaea porta f
scaena |  scaena, ae f
scaeptrum |  scaeptrum
Scaevola |  Scaevola, ae m
scaevus |  scaevus, a, um
scala |  scala, ae f
scalae |  scalae, arum f
Scaldis |  Scaldis, is m
scalenus |  scalenus, a, um анат.
scalmus |  scalmus, i m
scalpellum |  scalpellum, i n
scalpo |  scalpo, scalpsi, scalptum, ere
scalprum |  scalprum, i n
scammonia |  scammonia (scammonea), ae f
scamnum |  scamnum, i n
scando |  scando, scandi, scansum, ere
scandula |  scandula, ae f
scapha |  scapha, ae f
scaphium |  scaphium (scapium), i n
scaphocuboideus |  scaphocuboideus, a, um анат.
scaphoideocuneiformis |  scaphoideocuneiformis, e анат.
scaphoideus |  scaphoideus, a, um анат.
scapula |  scapula, ae f
scapulae |  scapulae, arum f
scapularis |  scapularis, e анат.
scapus |  scapus, i m
scarus |  scarus, i m
scatebra |  scatebra, ae f
scateo |  scateo, --, --, ere
scaturigo |  scaturigo, inis f
scaurus |  scaurus, a, um
scelerate |  scelerate adv.
sceleratus |  sceleratus, a, um
scelero |  scelero, avi, atum, are
sceleste |  sceleste adv.
scelestus |  scelestus, a, um
sceleton |  sceleton, i n
scelus |  scelus, eris n
Scemedinum |  Scemedin(um, i n
scena |  scena (scaena), ae f
scenicus |  scenicus, a, um
sceptrifer |  sceptrifer, era, erum
sceptrum |  sceptrum (scaeptrum), i n
scheda |  scheda (scida), ae f
schedula |  schedula, ae f
schisma |  schisma, atis n
Schistosoma |  Schistosoma, atis n
Schizandra |  Schizandra, ae f
schizogonia |  schizogonia, ae f
schola |  schola, ae f
scholasticus |  I scholasticus, a, um m
schyndilesis |  schyndilesis, is f
scida |  scida
sciens |  sciens, entis
scienter |  scienter adv.
scientia |  scientia, ae f
scilicet |  scilicet adv.
scilla |  scilla, ae f
scindo |  scindo, scidi, scissum, ere pass.
scindula |  scindula
scintilla |  scintilla, ae f
scintillo |  scintillo, avi, --, are
scio |  scio, ivi (ii), itum, ire
scipio |  I scipio, onis m
scirpea |  scirpea (sirpea), ae f
scirpeus |  scirpeus (sirpeus), a, um
scirpus |  scirpus (sirpus), i m
sciscitor |  sciscitor, atus sum, ari
scisco |  scisco, scivi, scitum, ere
scite |  scite adv.
scitor |  scitor, atus sum, ari поэт.
scitum |  scitum, i n
scitus |  I scitus, a, um m
sclera |  sclera, ae f
scleroblasti |  scleroblasti, orum m
sclerodermaticus |  sclerodermaticus, a, um биолог.
Sclerophyllinum |  Sclerophyllin(um, i n
sclerophyllus |  I sclerophyllus, a, um биолог.
sclerosis |  sclerosis, is f
sclopetum |  sclopetum, i n
scobis |  scobis, is f
Scolinum |  Scolin(um, i n
scoliosis |  scoliosis, is f
scopa |  scopa, ae f
Scopas |  Scopas, ae m
Scopolaminum |  Scopolamin(um, i n
scopulosus |  scopulosus, a, um
scopulus |  scopulus, i m
scorpio |  scorpio, onis (scorpios, i) m
scortator |  scortator, oris m
scortea |  scortea, orum n
scorteus |  scorteus, a, um
scortor |  scortor, --, --, ari
scortum |  scortum, i n
scriba |  scriba, ae m
scribo |  scribo, scripsi, scriptum, ere юр.
scrinium |  scrinium, i n
scriptito |  scriptito, avi, atum, are
scriptor |  scriptor, oris m
scriptorius |  scriptorius, a, um анат.
scriptulum |  scriptulum, i n
scriptum |  scriptum, i n
scriptura |  scriptura, ae f
scriptus |  scriptus, us m
scripulum |  scripulum (scrupulum), i n
scrobis |  scrobis, is m
scrofa |  scrofa, ae f
scrotalis |  scrotalis, e анат.
scrotum |  scrotum, i n
scrupeus |  scrupeus, a, um
scrupulosus |  scrupulosus, a, um
scrupulum |  scrupulum, i n
scrupulus |  scrupulus (scripulus), i m
scruta |  scruta, orum n
scrutor |  scrutor, atus sum, ari
sculpo |  sculpo, sculpsi, sculptum, ere
sculptilis |  sculptilis, e
scurra |  scurra, ae m
scurrilis |  scurrilis, e
scurrilitas |  scurrilitas, atis f
scurror |  scurror, --, ari
scutale |  scutale, is n
Scutamilum |  Scutamil(um, i n
scutati |  scutati, orum m
scutatus |  scutatus, a, um
Scuteliaria |  Scuteliaria, ae f
scutica |  scutica, ae f
scutifer |  scutifer, era, erum биолог.
scutula |  scutula, ae f
scutum |  scutum, i n
Scylla |  Scylla, ae f
scyphos |  scyphos, i m
Scythae |  Scythae, arum m
Scythia |  Scythia, ae f
se |  I se (sed) praep.
sebaceus |  sebaceus, a, um анат.
Sebidinum |  Sebidin(um, i n
Sebizonum |  Sebizon(um, i n
sebolithus |  sebolithus, i m
seborrhoea |  seborrhoea, ae f
sebum |  sebum, i n
Secabrevinum |  Secabrevin(um, i n
Secale |  Secale, is n
secedo |  secedo, cessi, cessum, ere
secerno |  secerno, crevi, cretum, ere
secessio |  secessio, onis f
secessus |  secessus, us m
secludo |  secludo, clusi, clusum, ere
seclum |  seclum, i n
seco |  seco, cui, ctum, are part.
Secometrinum |  Secometrin(um, i n
Secotaminum |  Secotamin(um, i n
secretio |  secretio, onis f
secreto |  secreto adv.
secretorius |  secretorius, a, um анат.
secretum |  I secretum, i n
secretus |  secretus, a, um
secta |  secta, ae f
sectator |  sectator, oris m
sectilis |  sectilis, e
sectio |  sectio, onis f
sector |  I sector, atus sum, ari m
secubitus |  secubitus, us m
secubo |  secubo, bui, --, are
secularis |  secularis
seculum |  seculum
secum |  secum см.
secundani |  secundani, orum m
secundo |  I secundo adv.
secundum |  I secundum praep.
secundus |  secundus, a, um поэт.
securifer |  securifer, era, erum
