ea |  ea adv.
eloquentia |  eloquentia, ae f
eloquium |  eloquium, i n
eloquor |  eloquor, locutus (loquutus) sum, loqui
eluceo |  eluceo, luxi, --, ere
eluctor |  eluctor, atus sum, ari
eludo |  eludo, lusi, lusum, ere
elugeo |  elugeo, luxi, --, ere
eluo |  eluo, lui, lutum, ere
elutus |  elutus, a, um
eluvies |  eluvies, ei f
eluvio |  eluvio, onis f
Elysium |  Elysium, i n
em |  em
Emaformum |  Emaform(um, i n
emancipo |  emancipo (emancupo), avi, atum, are
emancupo |  emancupo, avi, atum, are
Emandionum |  Emandion(um, i n
Emanilum |  Emanil(um, i n
emano |  emano, avi, atum, are
ematuresco |  ematuresco, turui, --, ere
emax |  emax, acis прот.
Embioptera |  Embioptera, orum n
Embitolum |  Embitol(um, i n
emblema |  emblema, atis n
embolia |  embolia, ae f
emboliformis |  emboliformis, e анат.
embolium |  embolium, i n
embryogenesis |  embryogenesis, is f
embryologia |  embryologia, ae f
embryon |  embryon, i n
embryonalis |  embryonalis, e анат.
embryotomia |  embryotomia, ae f
Embutalum |  Embutal(um, i n
emendabilis |  emendabilis, e
emendate |  emendate adv.
emendatio |  emendatio, onis f
emendator |  emendator, oris m
emendatus |  emendatus, a, um
emendo |  emendo, avi, atum, are
ementior |  ementior, titus sum, iri
emereo |  emereo, merui, meritum, ere pass.
emereor |  emereor, meritus sum, eri
emergo |  emergo, merui, mersum, ere pass.
emeritus |  emeritus, a, um
emetior |  emetior, mensus sum, iri
emico |  emico, micui, micatum, are поэт.
emigro |  emigro, avi, atum, are
eminens |  eminens, entis
eminentia |  eminentia, ae f
emineo |  emineo, minui, --, ere
eminus |  eminus adv.
emiror |  emiror, atus sum, ari
emissarium |  emissarium, i n
emissarius |  emissarius, i m
emissio |  emissio, onis f
emitto |  emitto, misi,missum, ere воен.
emo |  emo, emi, emptum, ere
emoderor |  emoderor, --, ari
emodulor |  emodulor, --, ari
emolimentum |  emolimentum, i n
emollio |  emollio, ivi, itum, ire
emolumentum |  emolumentum (emolimentum), i n
emoriens |  emoriens, entis
emorior |  emorior, mortuus sum, mori
emoveo |  emoveo, movi, motum, ere
Empedocles |  Empedocles, is m
emphysema |  emphysema, atis n
emplastrum |  emplastrum, i n
emporium |  emporium, i n
emptio |  emptio, onis f
emptor |  emptor, oris m
emptum |  emptum, i n
empyema |  empyema, atis n
emulgens |  emulgens, entis фармац.
emulsio |  emulsio, onis f
emulsum |  emulsum, i n
emungo |  emungo, munxi, munctum, ere
emunio |  emunio, ivi (ii), itum, ire
en |  en
enamelum |  enamelum, i n
enanthema |  enanthema, atis n
enarrabilis |  enarrabilis, e
enarro |  enarro, avi, atum, are
enarthrosis |  enarthrosis, is f
enascor |  enascor, natus sum, nasci
Enatinum |  Enatin(um, i n
enato |  enato, avi, atum, are
enavigo |  enavigo, avi, atum, are
encephalitis |  encephalitis, idis f
encephalocele |  encephalocele, es f
encephalographia |  encephalographia, ae f
encephalomyelitis |  encephalomyelitis, idis f
encephalon |  encephalon, i n
encephalopathia |  encephalopathia, ae f
endo |  endo (indo) арх.
endocarditis |  endocarditis, idis f
endocardium |  endocardium, i n
endocervicalis |  endocervicalis, e анат.
endocervicitis |  endocervicitis, idis f
endocrinicus |  endocrinicus, a, um анат.
endocrinologia |  endocrinologia, ae f
endoderma |  endoderma, atis n
Endodormum |  Endodorm(um, i n
endogenus |  endogenus, a, um биолог.
Endolinum |  Endolin(um, i n
endolympha |  endolympha, ae f
endometritis |  endometritis, idis f
endometrium |  endometrium, i n
endomyocardialis |  endomyocardialis, e мед.
endomysium |  endomysium, i n
endoneurium |  endoneurium, i n
endopeduncularis |  endopeduncularis, e анат.
endopelvicus |  endopelvicus, a, um анат.
endophthalmitis |  endophthalmitis, idis f
endoplasma |  endoplasma, atis n
endorachis |  endorachis, is f
endospora |  endospora, ae f
endosteum |  endosteum, i n
endothelium |  endothelium, i n
