glans |  glans, glandis f
glarea |  glarea, ae f
glareosus |  glareosus, a, um
Glaucidium |  Glaucidium, i n
glaucoma |  glaucoma, atis n
Glaucomilum |  Glaucomil(um, i n
glaucus |  glaucus, a, um
Glaxoridinum |  Glaxoridin(um, i n
gleba |  gleba, ae f
glenohumeralis |  glenohumeralis, e анат.
glenoidalis |  glenoidalis, e анат.
glia |  glia, ae f
Glimidum |  Glimid(um, i n
glisco |  glisco, --, --, ere
Globinecolum |  Globinecol(um, i n
globosus |  globosus, a, um
Globucidum |  Globucid(um, i n
globulus |  globulus, i m
globus |  globus, i m
glomero |  glomero, avi, atum, are pass.
glomerulus |  glomerulus, i m
glomiformis |  glomiformis, e анат.
glomus |  glomus, eris n
gloria |  gloria, ae f
glorior |  glorior, atus sum, ari
gloriose |  gloriose adv.
gloriosus |  gloriosus, a, um
glossa |  glossa, ае f
glossalgia |  glossalgia, ae f
glossitis |  glossitis, idis f
glossoepiglotticus |  glossoepiglotticus, a, um анат.
glossopharyngeus |  glossopharyngeus, a, um анат.
glossoplastica |  glossoplastica, ae f
glossoplegia |  glossoplegia, ae f
glossoptosis |  glossoptosis, is f
glossorrhagia |  glossorrhagia, ae f
glottis |  glottis, idis f
gluconas |  gluconas, atis m
Glucosum |  Glucosum, i n
glucosuria |  glucosuria, ae f
Glutansinum |  Glutansin(um, i n
Glutanum |  Glutan(um, i n
Glutathimidum |  Glutathimid(um, i n
Glutavitum |  Glutavit(um, i n
gluten |  gluten, inis n
gluteus |  gluteus, a, um анат.
glutinum |  glutinum, i n
Glutosalylum |  Glutosalyl(um, i n
Glycerinum |  Glycerin(um, i n
glycerophosphas |  glycerophosphas, atis m
Glycerophosphatum |  Glycerophosphat(um, i n
Glycerophosphenum |  Glycerophosphen(um, i n
Glycocyclinum |  Glycocyclin(um, i n
glycogenum |  glycogenum, i n
glycophyta |  glycophyta, orum n
Glycyrrhiza |  Glycyrrhiza, ae f
glykaemia |  glykaemia, ae f
Glyphyllinum |  Glyphyllin(um, i n
Glyvenolum |  Glyvenol(um, i n
gnaritas |  gnaritas, atis f
gnarus |  gnarus, a, um
gnathalgia |  gnathalgia, ae f
gnathoplastica |  gnathoplastica, ae f
Gnathostomata |  Gnathostomata, um n
gnatus |  gnatus, a, um арх.
gnav |  gnav арх.
gobius |  gobius (cobius), i m
Golgotha |  Golgotha m
gomphosis |  gomphosis, is f
